"",BBFB1.Q.N.DE.I7.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.I7.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:51,
1991-01,1260.607,
1991-04,1324.556,
1991-07,2643.440,
1991-10,2232.739,
1992-01,2414.688,
1992-04,913.125,
1992-07,2748.866,
1992-10,16259.532,
1993-01,12047.650,
1993-04,12179.071,
1993-07,3577.812,
1993-10,-716.212,
1994-01,-4672.651,
1994-04,-3033.179,
1994-07,2662.760,
1994-10,7387.225,
1995-01,-1146.824,
1995-04,-650.540,
1995-07,-1651.919,
1995-10,-5042.041,
1996-01,1904.097,
1996-04,256.176,
1996-07,-3685.342,
1996-10,2180.021,
1997-01,3384.405,
1997-04,560.824,
1997-07,-2621.675,
1997-10,-7868.835,
1998-01,-3991.983,
1998-04,5341.293,
1998-07,-4217.299,
1998-10,-647.658,
1999-01,4772.604,
1999-04,8706.391,
1999-07,-4419.238,
1999-10,1247.957,
2000-01,-35270.686,
2000-04,3538.358,
2000-07,-27259.757,
2000-10,-35041.325,
2001-01,-40863.276,
2001-04,-30175.169,
2001-07,-33625.464,
2001-10,-29845.202,
2002-01,-38710.120,
2002-04,-33875.690,
2002-07,-51795.114,
2002-10,-81899.252,
2003-01,-45596.754,
2003-04,-51831.054,
2003-07,-62063.020,
2003-10,-52450.294,
2004-01,-70194.255,
2004-04,-37171.643,
2004-07,-43049.112,
2004-10,-57673.718,
2005-01,-46391.767,
2005-04,-58077.370,
2005-07,-54352.594,
2005-10,-54731.521,
2006-01,-61211.531,
2006-04,-62359.389,
2006-07,-40120.107,
2006-10,-31620.708,
2007-01,-53695.125,
2007-04,-11705.196,
2007-07,-37120.310,
2007-10,-18864.293,
2008-01,-88226.261,
2008-04,-111883.740,
2008-07,-100562.150,
2008-10,-132343.452,
2009-01,-124638.393,
2009-04,-89303.153,
2009-07,-109638.499,
2009-10,-108432.139,
2010-01,-101916.902,
2010-04,-113318.643,
2010-07,-97438.619,
2010-10,-106639.603,
2011-01,-96621.099,
2011-04,-111612.140,
2011-07,-149085.360,
2011-10,-168593.577,
2012-01,-171681.597,
2012-04,-122090.355,
2012-07,-130067.677,
2012-10,-87624.283,
2013-01,-138322.748,
2013-04,-140213.338,
2013-07,-130804.630,
2013-10,-113589.696,
2014-01,-128483.845,Provisional value
2014-04,-126100.448,Provisional value
2014-07,-123101.763,Provisional value
2014-10,-104329.326,Provisional value
