"",BBK01.OEYJ05H,BBK01.OEYJ05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:55,
2002-01,41.985,
2002-04,41.713,
2002-07,42.157,
2002-10,42.869,
2003-01,43.843,
2003-04,43.972,
2003-07,43.247,
2003-10,48.483,
2004-01,48.347,
2004-04,49.727,
2004-07,49.641,
2004-10,49.808,
2005-01,49.939,
2005-04,49.447,
2005-07,48.991,
2005-10,48.692,
2006-01,48.288,
2006-04,48.257,
2006-07,48.354,
2006-10,49.713,
2007-01,50.838,
2007-04,50.684,
2007-07,50.099,
2007-10,49.458,
2008-01,57.931,
2008-04,58.547,
2008-07,58.488,
2008-10,58.371,
2009-01,59.724,
2009-04,59.549,
2009-07,67.509,
2009-10,67.296,
2010-01,67.763,
2010-04,67.013,
2010-07,66.189,
2010-10,65.252,
2011-01,64.357,
2011-04,63.807,
2011-07,63.103,
2011-10,62.519,
2012-01,61.642,
2012-04,61.138,
2012-07,60.621,
2012-10,59.804,
2013-01,59.495,
2013-04,59.233,
2013-07,59.034,
2013-10,58.678,
2014-01,58.574,
2014-04,57.651,
2014-07,57.258,
