"",BBK01.OEXJ01H,BBK01.OEXJ01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:22,
2002-01,5.079,
2002-04,5.143,
2002-07,5.538,
2002-10,5.481,
2003-01,5.428,
2003-04,5.755,
2003-07,5.651,
2003-10,5.871,
2004-01,5.425,
2004-04,5.279,
2004-07,5.376,
2004-10,6.181,
2005-01,6.963,
2005-04,8.052,
2005-07,9.516,
2005-10,9.674,
2006-01,9.932,
2006-04,11.247,
2006-07,11.294,
2006-10,11.451,
2007-01,11.177,
2007-04,10.984,
2007-07,12.941,
2007-10,12.763,
2008-01,12.889,
2008-04,12.858,
2008-07,14.127,
2008-10,13.443,
2009-01,12.112,
2009-04,11.750,
2009-07,14.077,
2009-10,14.827,
2010-01,14.615,
2010-04,15.822,
2010-07,16.132,
2010-10,15.282,
2011-01,16.467,
2011-04,15.525,
2011-07,21.940,
2011-10,18.797,
2012-01,17.938,
2012-04,19.194,
2012-07,23.310,
2012-10,21.962,
2013-01,22.635,
2013-04,22.712,
2013-07,23.819,
2013-10,22.049,
2014-01,22.912,
2014-04,23.733,
2014-07,25.108,
