"",BBK01.OECI05G,BBK01.OECI05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:45,
2002-01,0.115,
2002-04,0.114,
2002-07,0.111,
2002-10,0.106,
2003-01,0.106,
2003-04,0.090,
2003-07,0.087,
2003-10,0.078,
2004-01,0.074,
2004-04,0.068,
2004-07,0.069,
2004-10,0.069,
2005-01,2.366,
2005-04,2.321,
2005-07,2.260,
2005-10,2.289,
2006-01,2.173,
2006-04,2.118,
2006-07,2.385,
2006-10,2.386,
2007-01,3.131,
2007-04,3.800,
2007-07,4.107,
2007-10,4.499,
2008-01,4.671,
2008-04,4.567,
2008-07,4.653,
2008-10,4.940,
2009-01,5.069,
2009-04,5.482,
2009-07,5.274,
2009-10,5.179,
2010-01,5.214,
2010-04,5.229,
2010-07,5.264,
2010-10,5.223,
2011-01,5.248,
2011-04,5.133,
2011-07,5.289,
2011-10,5.235,
2012-01,5.250,
2012-04,5.246,
2012-07,5.306,
2012-10,5.185,
2013-01,5.201,
2013-04,5.189,
2013-07,5.156,
2013-10,4.980,
2014-01,4.803,
2014-04,4.455,
2014-07,4.369,
