"",BBK01.OEAH09J,BBK01.OEAH09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:58,
2002-01,0.101,
2002-04,0.105,
2002-07,0.100,
2002-10,0.083,
2003-01,0.074,
2003-04,0.066,
2003-07,0.062,
2003-10,0.059,
2004-01,0.062,
2004-04,0.059,
2004-07,0.061,
2004-10,0.054,
2005-01,0.059,
2005-04,0.056,
2005-07,0.059,
2005-10,0.060,
2006-01,0.067,
2006-04,0.075,
2006-07,0.104,
2006-10,0.157,
2007-01,0.232,
2007-04,0.270,
2007-07,0.321,
2007-10,0.368,
2008-01,0.419,
2008-04,0.484,
2008-07,0.550,
2008-10,0.563,
2009-01,0.514,
2009-04,0.438,
2009-07,0.362,
2009-10,0.231,
2010-01,0.179,
2010-04,0.156,
2010-07,0.150,
2010-10,0.175,
2011-01,0.206,
2011-04,0.210,
2011-07,0.208,
2011-10,0.208,
2012-01,0.167,
2012-04,0.164,
2012-07,0.157,
2012-10,0.166,
2013-01,0.146,
2013-04,0.131,
2013-07,0.126,
2013-10,0.116,
2014-01,0.105,
2014-04,0.115,
2014-07,0.106,
