"",BBFB1.Q.N.DE.CN.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:00,
1991-01,7.534,
1991-04,6.371,
1991-07,5.802,
1991-10,6.941,
1992-01,4.381,
1992-04,7.756,
1992-07,9.163,
1992-10,8.936,
1993-01,5.955,
1993-04,7.223,
1993-07,7.506,
1993-10,7.871,
1994-01,8.740,
1994-04,14.918,
1994-07,9.491,
1994-10,14.801,
1995-01,9.915,
1995-04,10.378,
1995-07,16.829,
1995-10,17.080,
1996-01,16.048,
1996-04,15.018,
1996-07,11.146,
1996-10,18.543,
1997-01,16.761,
1997-04,20.435,
1997-07,22.238,
1997-10,23.351,
1998-01,18.543,
1998-04,19.357,
1998-07,19.580,
1998-10,19.890,
1999-01,14.366,
1999-04,17.742,
1999-07,20.638,
1999-10,37.649,
2000-01,21.804,
2000-04,22.184,
2000-07,21.202,
2000-10,22.496,
2001-01,26.774,
2001-04,17.754,
2001-07,34.889,
2001-10,43.951,
2002-01,14.383,
2002-04,17.856,
2002-07,24.327,
2002-10,31.765,
2003-01,29.714,
2003-04,40.231,
2003-07,40.785,
2003-10,43.157,
2004-01,49.729,
2004-04,39.427,
2004-07,27.387,
2004-10,32.577,
2005-01,33.271,
2005-04,28.933,
2005-07,45.788,
2005-10,37.632,
2006-01,33.722,
2006-04,38.664,
2006-07,56.869,
2006-10,78.128,
2007-01,55.245,
2007-04,47.311,
2007-07,43.210,
2007-10,45.069,
2008-01,48.586,
2008-04,55.104,
2008-07,74.999,
2008-10,279.869,
2009-01,84.273,
2009-04,63.692,
2009-07,94.798,
2009-10,89.282,
2010-01,80.540,
2010-04,143.913,
2010-07,231.159,
2010-10,150.404,
2011-01,176.908,
2011-04,148.336,
2011-07,96.107,
2011-10,130.146,
2012-01,73.110,
2012-04,210.263,
2012-07,95.430,
2012-10,132.324,
2013-01,87.888,
2013-04,133.560,
2013-07,100.722,
2013-10,57.575,
2014-01,70.082,Provisional value
2014-04,230.980,Provisional value
2014-07,112.583,Provisional value
