"",BBEX3.M.JOD.USD.CA.AB.A01,BBEX3.M.JOD.USD.CA.AB.A01_FLAGS
2011-01,0.7100,
2011-02,0.7100,
2011-03,0.7100,
2011-04,0.7100,
2011-05,0.7100,
2011-06,0.7100,
2011-07,0.7100,
2011-08,0.7100,
2011-09,0.7100,
2011-10,0.7100,
2011-11,0.7100,
2011-12,0.7100,
2012-01,0.7100,
2012-02,0.7100,
2012-03,0.7100,
2012-04,0.7100,
2012-05,0.7100,
2012-06,0.7100,
2012-07,0.7100,
2012-08,0.7100,
2012-09,0.7100,
2012-10,0.7100,
2012-11,0.7100,
2012-12,0.7100,
2013-01,0.7100,
2013-02,0.7100,
2013-03,0.7100,
2013-04,0.7100,
2013-05,0.7100,
2013-06,0.7100,
2013-07,0.7100,
2013-08,0.7100,
2013-09,0.7100,
2013-10,0.7100,
2013-11,0.7100,
2013-12,0.7100,
2014-01,0.7100,
2014-02,0.7100,
2014-03,0.7100,
2014-04,0.7100,
2014-05,0.7100,
2014-06,0.7100,
2014-07,0.7100,
2014-08,0.7100,
2014-09,0.7100,
2014-10,0.7100,
2014-11,0.7100,
2014-12,0.7100,
2015-01,0.7100,
"","General: Since October 1995, the Jordanian dinar has been pegged to the US dollar.",
"","Source: Central Bank of Jordan, Amman.",
