"",BBK01.OEAD07G,BBK01.OEAD07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:28,
2002-01,3.692,
2002-04,3.780,
2002-07,3.978,
2002-10,3.613,
2003-01,3.137,
2003-04,3.261,
2003-07,3.085,
2003-10,2.939,
2004-01,3.101,
2004-04,2.809,
2004-07,2.696,
2004-10,2.591,
2005-01,2.606,
2005-04,2.694,
2005-07,2.673,
2005-10,2.578,
2006-01,2.516,
2006-04,2.634,
2006-07,2.671,
2006-10,2.658,
2007-01,2.799,
2007-04,3.260,
2007-07,3.114,
2007-10,3.201,
2008-01,3.271,
2008-04,3.410,
2008-07,3.403,
2008-10,3.297,
2009-01,2.869,
2009-04,2.854,
2009-07,2.909,
2009-10,2.881,
2010-01,2.934,
2010-04,3.005,
2010-07,3.068,
2010-10,3.081,
2011-01,3.034,
2011-04,2.938,
2011-07,2.953,
2011-10,2.893,
2012-01,2.877,
2012-04,2.869,
2012-07,2.894,
2012-10,2.884,
2013-01,2.901,
2013-04,2.970,
2013-07,3.039,
2013-10,3.085,
2014-01,3.120,
2014-04,3.281,
2014-07,3.154,
