"",BBK01.PQM353,BBK01.PQM353_FLAGS
"",Lending to domestic enterprises and resident individuals / Long-term / Mortgage banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:20:13,
1958-10,7.581,
1959-01,-,Nothing exists
1959-04,8.195,
1959-07,-,Nothing exists
1959-10,9.083,
1960-01,-,Nothing exists
1960-04,9.641,
1960-07,-,Nothing exists
1960-10,17.197,
1961-01,-,Nothing exists
1961-04,18.167,
1961-07,-,Nothing exists
1961-10,19.700,
1962-01,-,Nothing exists
1962-04,20.762,
1962-07,-,Nothing exists
1962-10,22.436,
1963-01,-,Nothing exists
1963-04,23.559,
1963-07,-,Nothing exists
1963-10,25.312,
1964-01,-,Nothing exists
1964-04,26.856,
1964-07,-,Nothing exists
1964-10,28.841,
1965-01,29.551,
1965-04,30.242,
1965-07,31.072,
1965-10,31.929,
1966-01,32.440,
1966-04,32.993,
1966-07,33.596,
1966-10,34.339,
1967-01,34.823,
1967-04,35.441,
1967-07,36.123,
1967-10,36.920,
1968-01,37.449,
1968-04,37.983,
1968-07,38.786,
1968-10,40.237,
1969-01,40.414,
1969-04,40.974,
1969-07,41.768,
1969-10,42.432,
1970-01,42.598,
1970-04,42.953,
1970-07,43.507,
1970-10,42.351,
1971-01,42.743,
1971-04,43.303,
1971-07,44.342,
1971-10,45.596,
1972-01,46.892,
1972-04,48.071,
1972-07,45.116,
1972-10,46.711,
1973-01,49.257,
1973-04,50.422,
1973-07,51.717,
1973-10,53.148,
1974-01,54.032,
1974-04,55.144,
1974-07,56.200,
1974-10,57.714,
1975-01,58.786,
1975-04,60.293,
1975-07,61.568,
1975-10,62.941,
1976-01,63.889,
1976-04,63.718,
1976-07,64.642,
1976-10,66.208,
1977-01,67.053,
1977-04,68.373,
1977-07,69.648,
1977-10,71.828,
1978-01,72.983,
1978-04,74.860,
1978-07,76.647,
1978-10,78.618,
1979-01,79.804,
1979-04,80.860,
1979-07,82.039,
1979-10,83.941,
1980-01,85.169,
1980-04,86.806,
1980-07,88.798,
1980-10,91.373,
1981-01,93.032,
1981-04,95.108,
1981-07,97.232,
1981-10,99.339,
1982-01,99.996,
1982-04,101.565,
1982-07,103.535,
1982-10,106.466,
1983-01,108.144,
1983-04,106.974,
1983-07,108.661,
1983-10,110.874,
1984-01,111.632,
1984-04,112.991,
1984-07,114.896,
1984-10,117.226,
1985-01,118.698,
1985-04,120.463,
1985-07,122.405,
1985-10,124.917,
1986-01,125.757,
1986-04,127.670,
1986-07,129.855,
1986-10,131.214,
1987-01,132.123,
1987-04,133.129,
1987-07,134.808,
1987-10,136.354,
1988-01,136.943,
1988-04,137.736,
1988-07,139.182,
1988-10,140.435,
1989-01,141.613,
1989-04,142.349,
1989-07,143.319,
1989-10,144.932,
1990-01,145.677,
1990-04,146.244,
1990-07,147.118,
1990-10,148.843,
1991-01,147.220,
1991-04,148.374,
1991-07,149.842,
1991-10,152.803,
1992-01,139.146,
1992-04,142.477,
1992-07,145.533,
1992-10,150.433,
1993-01,146.456,
1993-04,150.826,
1993-07,156.835,
1993-10,165.887,
1994-01,172.137,
1994-04,176.508,
1994-07,181.565,
1994-10,186.111,
1995-01,182.324,
1995-04,187.224,
1995-07,192.256,
1995-10,197.148,
1996-01,201.207,
1996-04,196.241,
1996-07,198.768,
1996-10,205.551,
1997-01,207.825,
1997-04,211.067,
1997-07,214.107,
1997-10,219.366,
1998-01,222.140,
1998-04,225.493,
1998-07,229.871,
1998-10,237.410,
1999-01,206.546,
1999-04,210.061,
1999-07,215.696,
1999-10,220.747,
2000-01,222.611,
2000-04,224.541,
2000-07,227.838,
2000-10,230.693,
2001-01,232.094,
2001-04,233.236,
2001-07,234.786,
2001-10,235.548,
2002-01,236.420,
2002-04,235.627,
2002-07,236.339,
2002-10,234.632,
2003-01,234.501,
2003-04,233.884,
2003-07,233.063,
2003-10,235.458,
2004-01,232.753,
2004-04,233.059,
2004-07,231.661,
2004-10,228.744,
2005-01,225.192,
2005-04,224.060,
2005-07,227.786,
2005-10,220.918,
2006-01,217.100,
2006-04,211.975,
2006-07,209.924,
2006-10,204.269,
2007-01,198.280,
2007-04,194.067,
2007-07,190.559,
2007-10,182.703,
2008-01,179.624,
2008-04,176.333,
2008-07,173.357,
2008-10,170.035,
2009-01,167.079,
2009-04,164.339,
2009-07,161.829,
2009-10,158.209,
2010-01,155.986,
2010-04,155.191,
2010-07,153.349,
2010-10,150.003,
2011-01,147.052,
2011-04,145.006,
2011-07,143.570,
2011-10,140.882,
2012-01,139.255,
2012-04,132.982,
2012-07,130.376,
2012-10,128.197,
2013-01,125.870,
2013-04,123.470,
2013-07,118.695,
2013-10,112.162,
2014-01,109.754,
2014-04,107.560,
2014-07,105.304,
2014-10,104.466,
