"",BBFB1.Q.N.DE.GB.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:11,
1991-01,1250.908,
1991-04,1381.644,
1991-07,1354.071,
1991-10,1358.143,
1992-01,1394.395,
1992-04,1507.621,
1992-07,1586.679,
1992-10,1478.226,
1993-01,1312.578,
1993-04,1553.476,
1993-07,1628.340,
1993-10,1673.869,
1994-01,1425.673,
1994-04,1634.744,
1994-07,1719.045,
1994-10,1677.040,
1995-01,1959.856,
1995-04,1690.484,
1995-07,1751.566,
1995-10,1737.848,
1996-01,1684.450,
1996-04,1868.901,
1996-07,1959.690,
1996-10,1965.583,
1997-01,2003.487,
1997-04,2217.171,
1997-07,2319.551,
1997-10,2353.896,
1998-01,2065.905,
1998-04,2355.094,
1998-07,2474.940,
1998-10,2752.842,
1999-01,2314.192,
1999-04,2839.080,
1999-07,3147.394,
1999-10,3633.105,
2000-01,3133.544,
2000-04,2901.810,
2000-07,3196.548,
2000-10,3846.652,
2001-01,3801.023,
2001-04,3487.463,
2001-07,3709.451,
2001-10,3805.567,
2002-01,3766.503,
2002-04,3361.999,
2002-07,3611.150,
2002-10,3373.471,
2003-01,3239.909,
2003-04,3114.331,
2003-07,3455.997,
2003-10,3476.815,
2004-01,3234.538,
2004-04,3379.507,
2004-07,3578.985,
2004-10,3552.585,
2005-01,3086.336,
2005-04,3403.887,
2005-07,3474.419,
2005-10,3793.906,
2006-01,3698.097,
2006-04,3445.147,
2006-07,3967.203,
2006-10,4033.171,
2007-01,4049.885,
2007-04,4057.745,
2007-07,4425.001,
2007-10,4263.304,
2008-01,3915.551,
2008-04,4104.704,
2008-07,4136.003,
2008-10,4037.792,
2009-01,3372.650,
2009-04,3790.928,
2009-07,3530.413,
2009-10,4209.053,
2010-01,3462.166,
2010-04,3920.901,
2010-07,4182.740,
2010-10,4298.980,
2011-01,4091.652,
2011-04,4724.010,
2011-07,4145.819,
2011-10,4848.980,
2012-01,4277.868,
2012-04,4253.336,
2012-07,4535.952,
2012-10,4761.730,
2013-01,4330.137,
2013-04,4720.077,
2013-07,4837.992,
2013-10,4827.094,
2014-01,4616.126,Provisional value
2014-04,4608.492,Provisional value
2014-07,4794.140,Provisional value
