"",BBK01.OEAH34U,BBK01.OEAH34U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:23,
2002-01,0.005,
2002-04,0.007,
2002-07,0.005,
2002-10,0.009,
2003-01,0.007,
2003-04,0.005,
2003-07,0.004,
2003-10,0.003,
2004-01,0.004,
2004-04,0.003,
2004-07,0.006,
2004-10,0.004,
2005-01,0.006,
2005-04,0.008,
2005-07,0.006,
2005-10,0.008,
2006-01,0.006,
2006-04,0.010,
2006-07,0.019,
2006-10,0.016,
2007-01,0.018,
2007-04,0.023,
2007-07,0.023,
2007-10,0.033,
2008-01,0.032,
2008-04,0.037,
2008-07,0.052,
2008-10,0.049,
2009-01,0.052,
2009-04,0.050,
2009-07,0.057,
2009-10,0.057,
2010-01,0.056,
2010-04,0.086,
2010-07,0.093,
2010-10,0.096,
2011-01,0.098,
2011-04,0.094,
2011-07,0.055,
2011-10,0.037,
2012-01,0.096,
2012-04,0.097,
2012-07,0.095,
2012-10,0.100,
2013-01,0.082,
2013-04,0.090,
2013-07,0.096,
2013-10,0.093,
2014-01,0.102,
2014-04,0.087,
2014-07,0.070,
