"",BBK01.OEGB10I,BBK01.OEGB10I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:02,
2002-01,1.790,
2002-04,1.638,
2002-07,1.597,
2002-10,1.496,
2003-01,1.300,
2003-04,1.409,
2003-07,1.915,
2003-10,1.856,
2004-01,1.752,
2004-04,1.649,
2004-07,1.342,
2004-10,1.313,
2005-01,1.228,
2005-04,1.233,
2005-07,1.351,
2005-10,1.259,
2006-01,1.809,
2006-04,1.540,
2006-07,3.627,
2006-10,3.332,
2007-01,2.914,
2007-04,2.814,
2007-07,2.906,
2007-10,4.725,
2008-01,7.068,
2008-04,6.901,
2008-07,8.122,
2008-10,6.546,
2009-01,6.928,
2009-04,7.333,
2009-07,7.174,
2009-10,8.573,
2010-01,8.795,
2010-04,8.149,
2010-07,4.926,
2010-10,6.335,
2011-01,6.604,
2011-04,8.325,
2011-07,10.333,
2011-10,5.821,
2012-01,9.636,
2012-04,10.750,
2012-07,8.471,
2012-10,5.419,
2013-01,6.368,
2013-04,8.842,
2013-07,1.526,
2013-10,1.532,
2014-01,2.054,
2014-04,1.763,
2014-07,1.355,
