"",BBFN1.M.DE.N.1.L.PL.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PL.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2007-07,0.313,
2007-08,0.339,
2007-09,0.330,
2007-10,0.257,
2007-11,0.305,
2007-12,0.369,
2008-01,0.466,
2008-02,0.471,
2008-03,0.514,
2008-04,0.474,
2008-05,0.539,
2008-06,0.511,
2008-07,0.485,
2008-08,0.522,
2008-09,0.547,
2008-10,0.628,
2008-11,0.679,
2008-12,0.679,
2009-01,0.704,
2009-02,0.655,
2009-03,0.746,
2009-04,0.730,
2009-05,0.809,
2009-06,0.801,
2009-07,0.843,
2009-08,0.881,
2009-09,0.901,
2009-10,0.942,
2009-11,0.971,
2009-12,0.949,
2010-01,0.951,
2010-02,0.996,
2010-03,1.034,
2010-04,1.045,
2010-05,0.933,
2010-06,0.929,
2010-07,0.925,
2010-08,1.037,
2010-09,0.993,
2010-10,0.965,
2010-11,1.067,
2010-12,1.087,
2011-01,1.064,
2011-02,1.085,
2011-03,1.215,
2011-04,1.082,
2011-05,1.170,
2011-06,1.276,
2011-07,1.419,
2011-08,1.422,
2011-09,1.323,
2011-10,1.452,
2011-11,1.631,
2011-12,1.629,
2012-01,1.364,
2012-02,1.405,
2012-03,1.441,
2012-04,1.433,
2012-05,1.357,
2012-06,1.262,
2012-07,1.426,
2012-08,1.376,
2012-09,1.477,
2012-10,1.420,
2012-11,1.494,
2012-12,1.255,
2013-01,1.324,
2013-02,1.387,
2013-03,1.381,
2013-04,1.236,
2013-05,1.240,
2013-06,1.310,
2013-07,1.258,
2013-08,1.236,
2013-09,1.338,
2013-10,1.200,
2013-11,1.353,
2013-12,1.398,
2014-01,0.970,
2014-02,1.019,
2014-03,1.022,
2014-04,1.022,
2014-05,0.952,
2014-06,0.982,
2014-07,1.059,
2014-08,1.078,
2014-09,1.036,
2014-10,1.071,
2014-11,1.140,
2014-12,1.250,
