"",BBFI1.Q.N.DE.W1.S1P.S1.LE.A.FA.P.F51._Z._T.M.N,BBFI1.Q.N.DE.W1.S1P.S1.LE.A.FA.P.F51._Z._T.M.N_FLAGS
"",IIP - Portfolio investment - Equity - Assets - Positions - resident holder: Other sectors than MFIs and general government - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:08:29,
1999-10,394163,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,463903,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,397320,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,276660,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,296496,
2004-01,309700,
2004-04,315919,
2004-07,305580,
2004-10,313922,
2005-01,330426,
2005-04,349966,
2005-07,383073,
2005-10,410035,
2006-01,420311,
2006-04,369421,
2006-07,373754,
2006-10,361025,
2007-01,353950,
2007-04,349282,
2007-07,328673,
2007-10,288602,
2008-01,234248,
2008-04,225655,
2008-07,198527,
2008-10,144425,
2009-01,128028,
2009-04,147674,
2009-07,172941,
2009-10,183413,
2010-01,196814,
2010-04,188187,
2010-07,197493,
2010-10,216560,
2011-01,213756,
2011-04,209321,
2011-07,173085,
2011-10,187433,
2012-01,199952,
2012-04,191779,
2012-07,203898,
2012-10,209313,
2013-01,230634,
2013-04,228202,
2013-07,247207,
2013-10,261507,
2014-01,266591,
2014-04,283889,
2014-07,294212,
