"",BBK01.OEAN01G,BBK01.OEAN01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:46,
2002-01,111.438,
2002-04,110.370,
2002-07,110.720,
2002-10,115.716,
2003-01,117.569,
2003-04,117.613,
2003-07,118.323,
2003-10,122.160,
2004-01,123.928,
2004-04,124.184,
2004-07,124.570,
2004-10,127.541,
2005-01,97.163,
2005-04,97.045,
2005-07,96.553,
2005-10,97.278,
2006-01,96.686,
2006-04,95.585,
2006-07,94.355,
2006-10,93.891,
2007-01,92.470,
2007-04,90.009,
2007-07,87.765,
2007-10,87.619,
2008-01,85.052,
2008-04,82.788,
2008-07,80.289,
2008-10,82.251,
2009-01,84.791,
2009-04,86.896,
2009-07,90.500,
2009-10,95.967,
2010-01,98.792,
2010-04,99.258,
2010-07,99.875,
2010-10,102.075,
2011-01,103.712,
2011-04,103.199,
2011-07,102.721,
2011-10,102.852,
2012-01,103.317,
2012-04,102.855,
2012-07,102.831,
2012-10,103.726,
2013-01,103.401,
2013-04,102.804,
2013-07,103.002,
2013-10,103.925,
2014-01,104.228,
2014-04,103.550,
2014-07,104.261,
