"",BBK01.OEYB10R,BBK01.OEYB10R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:20,
2002-01,0.055,
2002-04,0.055,
2002-07,0.063,
2002-10,0.070,
2003-01,0.135,
2003-04,0.133,
2003-07,0.135,
2003-10,0.145,
2004-01,0.139,
2004-04,0.138,
2004-07,0.139,
2004-10,0.106,
2005-01,0.078,
2005-04,0.107,
2005-07,0.105,
2005-10,0.103,
2006-01,0.080,
2006-04,0.080,
2006-07,0.073,
2006-10,0.070,
2007-01,0.073,
2007-04,0.042,
2007-07,0.046,
2007-10,0.026,
2008-01,0.015,
2008-04,0.020,
2008-07,0.017,
2008-10,0.019,
2009-01,0.020,
2009-04,0.020,
2009-07,0.020,
2009-10,0.017,
2010-01,0.015,
2010-04,0.007,
2010-07,0.024,
2010-10,0.009,
2011-01,0.013,
2011-04,0.007,
2011-07,0.009,
2011-10,0.011,
2012-01,0.014,
2012-04,0.021,
2012-07,0.016,
2012-10,0.022,
2013-01,0.020,
2013-04,0.021,
2013-07,0.019,
2013-10,0.019,
2014-01,0.014,
2014-04,0.013,
2014-07,0.013,
