"",BBK01.OEYJ10O,BBK01.OEYJ10O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:06:30,
2002-01,0.040,
2002-04,0.038,
2002-07,0.037,
2002-10,0.035,
2003-01,0.034,
2003-04,0.031,
2003-07,0.028,
2003-10,0.036,
2004-01,0.018,
2004-04,0.016,
2004-07,0.016,
2004-10,3.447,
2005-01,3.494,
2005-04,3.576,
2005-07,3.624,
2005-10,3.637,
2006-01,3.647,
2006-04,3.687,
2006-07,3.734,
2006-10,3.768,
2007-01,3.780,
2007-04,3.741,
2007-07,3.784,
2007-10,3.886,
2008-01,3.899,
2008-04,3.927,
2008-07,3.928,
2008-10,3.921,
2009-01,3.894,
2009-04,3.949,
2009-07,3.970,
2009-10,4.036,
2010-01,4.082,
2010-04,4.138,
2010-07,4.147,
2010-10,0.006,
2011-01,0.006,
2011-04,0.008,
2011-07,0.007,
2011-10,0.009,
2012-01,0.008,
2012-04,0.010,
2012-07,0.007,
2012-10,0.001,
2013-01,0.001,
2013-04,0.001,
2013-07,0.001,
2013-10,0.001,
2014-01,0.002,
2014-04,0.001,
2014-07,0.002,
