"",BBFB1.Q.N.DE.CZ.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:52,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,-92.931,
1993-04,-85.658,
1993-07,-78.079,
1993-10,-69.054,
1994-01,-77.416,
1994-04,-86.840,
1994-07,-101.557,
1994-10,-112.688,
1995-01,-43.278,
1995-04,-42.400,
1995-07,-47.381,
1995-10,-52.926,
1996-01,-109.220,
1996-04,-108.810,
1996-07,-108.649,
1996-10,-106.021,
1997-01,-101.072,
1997-04,-84.425,
1997-07,-96.453,
1997-10,-94.585,
1998-01,-19.931,
1998-04,-26.362,
1998-07,-7.592,
1998-10,-30.397,
1999-01,50.725,
1999-04,61.673,
1999-07,51.439,
1999-10,73.039,
2000-01,94.362,
2000-04,97.286,
2000-07,85.147,
2000-10,89.276,
2001-01,28.268,
2001-04,-74.982,
2001-07,-37.368,
2001-10,5.686,
2002-01,43.729,
2002-04,53.366,
2002-07,44.752,
2002-10,58.543,
2003-01,84.288,
2003-04,101.669,
2003-07,103.756,
2003-10,127.783,
2004-01,256.634,
2004-04,244.668,
2004-07,286.658,
2004-10,282.378,
2005-01,333.264,
2005-04,323.687,
2005-07,346.574,
2005-10,358.876,
2006-01,421.731,
2006-04,400.760,
2006-07,413.394,
2006-10,431.699,
2007-01,491.615,
2007-04,445.446,
2007-07,396.413,
2007-10,308.237,
2008-01,362.148,
2008-04,146.656,
2008-07,120.689,
2008-10,236.395,
2009-01,225.946,
2009-04,197.675,
2009-07,190.842,
2009-10,144.458,
2010-01,350.820,
2010-04,368.597,
2010-07,396.667,
2010-10,408.971,
2011-01,391.126,
2011-04,388.885,
2011-07,400.539,
2011-10,397.943,
2012-01,395.374,
2012-04,365.681,
2012-07,370.736,
2012-10,353.479,
2013-01,267.787,
2013-04,245.989,
2013-07,248.882,
2013-10,242.474,
2014-01,256.771,Provisional value
2014-04,-15.287,Provisional value
2014-07,246.686,Provisional value
