"",BBK01.PQL359,BBK01.PQL359_FLAGS
"",Lending to domestic self-employed persons / Short-term / Credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:07,
1968-10,2.310,
1969-01,2.402,
1969-04,2.537,
1969-07,2.583,
1969-10,2.723,
1970-01,2.840,
1970-04,2.984,
1970-07,3.005,
1970-10,3.089,
1971-01,3.161,
1971-04,3.353,
1971-07,3.416,
1971-10,3.547,
1972-01,3.663,
1972-04,3.897,
1972-07,4.026,
1972-10,4.267,
1973-01,4.419,
1973-04,4.603,
1973-07,4.616,
1973-10,5.028,
1974-01,5.103,
1974-04,5.260,
1974-07,5.196,
1974-10,5.262,
1975-01,5.250,
1975-04,5.252,
1975-07,5.189,
1975-10,5.264,
1976-01,5.379,
1976-04,5.627,
1976-07,5.776,
1976-10,5.905,
1977-01,6.059,
1977-04,6.342,
1977-07,6.386,
1977-10,6.566,
1978-01,6.735,
1978-04,7.079,
1978-07,7.156,
1978-10,7.364,
1979-01,7.671,
1979-04,8.155,
1979-07,8.432,
1979-10,8.825,
1980-01,9.138,
1980-04,9.501,
1980-07,9.636,
1980-10,10.046,
1981-01,10.295,
1981-04,10.633,
1981-07,10.585,
1981-10,10.971,
1982-01,10.804,
1982-04,11.117,
1982-07,10.868,
1982-10,11.108,
1983-01,10.854,
1983-04,10.960,
1983-07,10.895,
1983-10,11.247,
1984-01,11.183,
1984-04,11.565,
1984-07,11.367,
1984-10,11.510,
1985-01,11.456,
1985-04,11.696,
1985-07,11.383,
1985-10,12.732,
1986-01,12.547,
1986-04,12.626,
1986-07,12.172,
1986-10,12.042,
1987-01,11.746,
1987-04,11.877,
1987-07,11.486,
1987-10,11.457,
1988-01,11.398,
1988-04,11.641,
1988-07,11.326,
1988-10,11.549,
1989-01,11.263,
1989-04,11.745,
1989-07,11.613,
1989-10,12.164,
1990-01,12.015,
1990-04,12.499,
1990-07,12.423,
1990-10,13.052,
1991-01,13.365,
1991-04,13.951,
1991-07,13.832,
1991-10,14.461,
1992-01,14.378,
1992-04,14.964,
1992-07,14.890,
1992-10,15.610,
1993-01,15.408,
1993-04,15.698,
1993-07,15.693,
1993-10,16.132,
1994-01,15.491,
1994-04,15.831,
1994-07,15.769,
1994-10,16.171,
1995-01,16.297,
1995-04,16.810,
1995-07,16.770,
1995-10,17.046,
1996-01,16.475,
1996-04,16.722,
1996-07,16.473,
1996-10,17.202,
1997-01,16.726,
1997-04,16.477,
1997-07,16.071,
1997-10,16.381,
1998-01,16.048,
1998-04,16.572,
1998-07,16.669,
1998-10,16.499,
1999-01,18.339,
1999-04,18.063,
1999-07,17.562,
1999-10,16.988,
2000-01,16.843,
2000-04,17.174,
2000-07,17.062,
2000-10,17.080,
2001-01,16.913,
2001-04,16.851,
2001-07,16.695,
2001-10,16.424,
2002-01,16.303,
2002-04,16.501,
2002-07,16.222,
2002-10,15.903,
2003-01,15.556,
2003-04,15.395,
2003-07,14.975,
2003-10,14.389,
2004-01,14.016,
2004-04,13.838,
2004-07,13.491,
2004-10,12.749,
2005-01,12.760,
2005-04,12.451,
2005-07,12.276,
2005-10,11.734,
2006-01,11.947,
2006-04,11.858,
2006-07,11.554,
2006-10,11.006,
2007-01,10.989,
2007-04,11.228,
2007-07,10.890,
2007-10,10.798,
2008-01,10.914,
2008-04,11.076,
2008-07,10.970,
2008-10,10.742,
2009-01,10.941,
2009-04,11.039,
2009-07,10.770,
2009-10,10.177,
2010-01,10.410,
2010-04,10.534,
2010-07,10.017,
2010-10,9.472,
2011-01,9.632,
2011-04,9.826,
2011-07,9.649,
2011-10,9.441,
2012-01,9.638,
2012-04,10.106,
2012-07,9.806,
2012-10,9.591,
2013-01,9.854,
2013-04,9.942,
2013-07,9.533,
2013-10,9.145,
2014-01,9.269,
2014-04,9.487,
2014-07,9.281,
2014-10,8.847,
