"",BBK01.OEHL02M,BBK01.OEHL02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:35,
2002-01,10.033,
2002-04,10.100,
2002-07,10.026,
2002-10,10.498,
2003-01,10.715,
2003-04,10.824,
2003-07,10.800,
2003-10,11.104,
2004-01,11.252,
2004-04,11.202,
2004-07,10.966,
2004-10,11.220,
2005-01,11.430,
2005-04,11.466,
2005-07,11.365,
2005-10,11.556,
2006-01,11.684,
2006-04,11.599,
2006-07,11.454,
2006-10,11.724,
2007-01,11.863,
2007-04,12.054,
2007-07,12.097,
2007-10,12.374,
2008-01,12.376,
2008-04,12.473,
2008-07,12.325,
2008-10,13.065,
2009-01,14.438,
2009-04,15.412,
2009-07,15.949,
2009-10,16.698,
2010-01,17.014,
2010-04,17.331,
2010-07,17.360,
2010-10,17.574,
2011-01,17.531,
2011-04,17.572,
2011-07,17.442,
2011-10,17.801,
2012-01,18.034,
2012-04,18.560,
2012-07,18.959,
2012-10,19.549,
2013-01,20.182,
2013-04,20.846,
2013-07,20.958,
2013-10,21.398,
2014-01,21.830,
2014-04,22.252,
2014-07,22.473,
