"",BBK01.OEAE20J,BBK01.OEAE20J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:42,
2002-01,0.049,
2002-04,0.047,
2002-07,0.047,
2002-10,0.048,
2003-01,0.039,
2003-04,0.039,
2003-07,0.034,
2003-10,0.030,
2004-01,0.029,
2004-04,0.029,
2004-07,0.028,
2004-10,0.027,
2005-01,0.019,
2005-04,0.020,
2005-07,0.021,
2005-10,0.024,
2006-01,0.017,
2006-04,0.016,
2006-07,0.020,
2006-10,0.022,
2007-01,0.028,
2007-04,0.031,
2007-07,0.039,
2007-10,0.037,
2008-01,0.042,
2008-04,0.043,
2008-07,0.041,
2008-10,0.045,
2009-01,0.044,
2009-04,0.042,
2009-07,0.053,
2009-10,0.062,
2010-01,0.044,
2010-04,0.045,
2010-07,0.032,
2010-10,0.028,
2011-01,0.026,
2011-04,0.025,
2011-07,0.025,
2011-10,0.034,
2012-01,0.034,
2012-04,0.035,
2012-07,0.045,
2012-10,0.029,
2013-01,0.023,
2013-04,0.021,
2013-07,0.035,
2013-10,0.039,
2014-01,0.047,
2014-04,0.049,
2014-07,0.049,
