"",BBK01.OEAE20P,BBK01.OEAE20P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:11,
2002-01,0.028,
2002-04,0.030,
2002-07,0.032,
2002-10,0.040,
2003-01,0.033,
2003-04,0.035,
2003-07,0.043,
2003-10,0.039,
2004-01,0.033,
2004-04,0.028,
2004-07,0.035,
2004-10,0.034,
2005-01,0.035,
2005-04,0.035,
2005-07,0.034,
2005-10,0.033,
2006-01,0.031,
2006-04,0.031,
2006-07,0.020,
2006-10,0.018,
2007-01,0.017,
2007-04,0.017,
2007-07,0.022,
2007-10,0.027,
2008-01,0.028,
2008-04,0.029,
2008-07,0.029,
2008-10,0.029,
2009-01,0.089,
2009-04,0.091,
2009-07,0.086,
2009-10,0.089,
2010-01,0.087,
2010-04,0.018,
2010-07,0.021,
2010-10,0.027,
2011-01,0.024,
2011-04,0.036,
2011-07,0.039,
2011-10,0.030,
2012-01,0.033,
2012-04,0.034,
2012-07,0.033,
2012-10,0.074,
2013-01,0.083,
2013-04,0.084,
2013-07,0.079,
2013-10,0.087,
2014-01,0.087,
2014-04,0.083,
2014-07,0.086,
