"",BBFB1.Q.N.DE.B5.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:27,
1991-01,14539.718,
1991-04,4623.381,
1991-07,13099.956,
1991-10,14554.368,
1992-01,2535.291,
1992-04,6733.739,
1992-07,40987.064,
1992-10,27159.012,
1993-01,39882.089,
1993-04,33987.029,
1993-07,23455.100,
1993-10,32846.835,
1994-01,2287.329,
1994-04,-12.190,
1994-07,15976.335,
1994-10,32176.660,
1995-01,24604.293,
1995-04,27960.846,
1995-07,17594.158,
1995-10,15784.772,
1996-01,21433.824,
1996-04,23307.905,
1996-07,5724.164,
1996-10,35996.674,
1997-01,53457.968,
1997-04,36324.773,
1997-07,23444.195,
1997-10,35375.230,
1998-01,77360.318,
1998-04,62196.817,
1998-07,44323.116,
1998-10,38304.470,
1999-01,80223.305,
1999-04,54356.259,
1999-07,54641.384,
1999-10,65679.924,
2000-01,181348.833,
2000-04,109167.518,
2000-07,84895.886,
2000-10,16864.473,
2001-01,109211.490,
2001-04,25555.424,
2001-07,46393.112,
2001-10,8936.573,
2002-01,43780.297,
2002-04,74664.264,
2002-07,88389.537,
2002-10,15473.444,
2003-01,86557.600,
2003-04,40470.766,
2003-07,18193.904,
2003-10,-2948.845,
2004-01,74875.016,
2004-04,-23225.891,
2004-07,81568.370,
2004-10,13740.089,
2005-01,124690.310,
2005-04,48721.902,
2005-07,37753.064,
2005-10,35046.244,
2006-01,126623.896,
2006-04,10003.112,
2006-07,31594.297,
2006-10,34349.875,
2007-01,118533.775,
2007-04,113509.143,
2007-07,122585.201,
2007-10,15467.703,
2008-01,127150.833,
2008-04,-31443.493,
2008-07,59011.296,
2008-10,-150637.458,
2009-01,-59051.133,
2009-04,33147.960,
2009-07,-50199.940,
2009-10,-16484.604,
2010-01,52043.602,
2010-04,57211.238,
2010-07,79681.590,
2010-10,48866.908,
2011-01,-2355.642,
2011-04,25703.053,
2011-07,131918.670,
2011-10,-110217.132,
2012-01,195548.748,
2012-04,-11269.231,
2012-07,-32527.382,
2012-10,-58850.629,
2013-01,-24168.602,
2013-04,4410.147,
2013-07,-67884.835,
2013-10,-92384.597,
2014-01,46026.243,Provisional value
2014-04,26641.456,Provisional value
2014-07,-11155.357,Provisional value
2014-10,-66205.809,Provisional value
