"",BBSF2.M.1.S.00000.IMM01.I.F.BGS.U3.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.BGS.U3.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Developed properties / EU member states not belonging to the Euro area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:46,
2009-09,2240,
2009-10,2388,
2009-11,2347,
2009-12,2413,
2010-01,2530,
2010-02,2471,
2010-03,2430,
2010-04,2491,
2010-05,2504,
2010-06,2560,
2010-07,2376,
2010-08,2418,
2010-09,2294,
2010-10,2295,
2010-11,2362,
2010-12,2336,
2011-01,2330,
2011-02,2349,
2011-03,2258,
2011-04,2116,
2011-05,2085,
2011-06,2021,
2011-07,2056,
2011-08,2112,
2011-09,2143,
2011-10,2139,
2011-11,2276,
2011-12,2380,
2012-01,2494,
2012-02,2474,
2012-03,2565,
2012-04,2619,
2012-05,2600,
2012-06,2590,
2012-07,2687,
2012-08,2641,
2012-09,2627,
2012-10,2648,
2012-11,2624,
2012-12,2607,
2013-01,2507,
2013-02,2521,
2013-03,2536,
2013-04,2513,
2013-05,2506,
2013-06,2375,
2013-07,2284,
2013-08,2314,
2013-09,2423,
2013-10,2370,
2013-11,2256,
2013-12,2169,
2014-01,2193,
2014-02,2196,
2014-03,2111,
2014-04,2133,
2014-05,2154,
2014-06,2161,
2014-07,2027,
2014-08,2014,
2014-09,2174,
2014-10,2337,
2014-11,2514,
