"",BBK01.OEAH52I,BBK01.OEAH52I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:39,
2002-01,0.029,
2002-04,0.030,
2002-07,0.031,
2002-10,0.030,
2003-01,0.029,
2003-04,0.026,
2003-07,0.028,
2003-10,0.030,
2004-01,0.038,
2004-04,0.034,
2004-07,0.033,
2004-10,0.033,
2005-01,0.033,
2005-04,0.032,
2005-07,0.030,
2005-10,0.029,
2006-01,0.028,
2006-04,0.026,
2006-07,0.025,
2006-10,0.023,
2007-01,0.021,
2007-04,0.021,
2007-07,0.020,
2007-10,0.020,
2008-01,0.018,
2008-04,0.017,
2008-07,0.017,
2008-10,0.023,
2009-01,0.024,
2009-04,0.023,
2009-07,0.024,
2009-10,0.024,
2010-01,0.030,
2010-04,0.041,
2010-07,0.042,
2010-10,0.055,
2011-01,0.054,
2011-04,0.063,
2011-07,0.067,
2011-10,0.064,
2012-01,0.066,
2012-04,0.066,
2012-07,0.067,
2012-10,0.059,
2013-01,0.052,
2013-04,0.042,
2013-07,0.040,
2013-10,0.040,
2014-01,0.035,
2014-04,0.017,
2014-07,0.017,
