"",BBK01.OEAB18L,BBK01.OEAB18L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:12,
2002-01,5.523,
2002-04,5.414,
2002-07,5.885,
2002-10,5.550,
2003-01,5.269,
2003-04,5.591,
2003-07,5.512,
2003-10,5.499,
2004-01,5.575,
2004-04,5.903,
2004-07,5.915,
2004-10,5.783,
2005-01,5.283,
2005-04,5.526,
2005-07,5.450,
2005-10,5.093,
2006-01,4.986,
2006-04,5.055,
2006-07,5.268,
2006-10,5.074,
2007-01,4.853,
2007-04,5.709,
2007-07,5.090,
2007-10,5.230,
2008-01,5.001,
2008-04,5.117,
2008-07,5.499,
2008-10,5.425,
2009-01,5.233,
2009-04,5.164,
2009-07,5.713,
2009-10,5.818,
2010-01,5.462,
2010-04,5.389,
2010-07,5.513,
2010-10,5.654,
2011-01,5.319,
2011-04,5.412,
2011-07,5.444,
2011-10,5.476,
2012-01,5.402,
2012-04,5.333,
2012-07,5.600,
2012-10,5.563,
2013-01,5.396,
2013-04,5.506,
2013-07,5.513,
2013-10,5.544,
2014-01,5.548,
2014-04,5.616,
2014-07,5.601,
