"",BBK01.OEAD26K,BBK01.OEAD26K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:43,
2002-01,0.183,
2002-04,0.200,
2002-07,0.183,
2002-10,0.154,
2003-01,0.162,
2003-04,0.139,
2003-07,0.139,
2003-10,0.241,
2004-01,0.273,
2004-04,0.337,
2004-07,0.390,
2004-10,0.384,
2005-01,0.190,
2005-04,0.200,
2005-07,0.164,
2005-10,0.175,
2006-01,0.169,
2006-04,0.159,
2006-07,0.159,
2006-10,0.179,
2007-01,0.176,
2007-04,0.167,
2007-07,0.177,
2007-10,0.174,
2008-01,0.320,
2008-04,0.353,
2008-07,0.298,
2008-10,0.315,
2009-01,0.274,
2009-04,0.284,
2009-07,0.288,
2009-10,0.283,
2010-01,0.270,
2010-04,0.278,
2010-07,0.292,
2010-10,0.277,
2011-01,0.249,
2011-04,0.230,
2011-07,0.206,
2011-10,0.197,
2012-01,0.185,
2012-04,0.175,
2012-07,0.193,
2012-10,0.187,
2013-01,0.192,
2013-04,0.206,
2013-07,0.248,
2013-10,0.250,
2014-01,0.242,
2014-04,0.231,
2014-07,0.206,
