"",BBK01.OEAA30V,BBK01.OEAA30V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:13,
2002-01,0.599,
2002-04,0.602,
2002-07,0.579,
2002-10,0.582,
2003-01,0.579,
2003-04,0.514,
2003-07,0.487,
2003-10,0.467,
2004-01,0.511,
2004-04,0.500,
2004-07,0.491,
2004-10,0.481,
2005-01,0.481,
2005-04,0.475,
2005-07,0.485,
2005-10,0.475,
2006-01,0.445,
2006-04,0.448,
2006-07,0.459,
2006-10,0.449,
2007-01,0.465,
2007-04,0.466,
2007-07,0.474,
2007-10,0.433,
2008-01,0.433,
2008-04,0.433,
2008-07,0.431,
2008-10,0.444,
2009-01,0.446,
2009-04,0.544,
2009-07,0.534,
2009-10,0.538,
2010-01,0.464,
2010-04,0.474,
2010-07,0.447,
2010-10,0.453,
2011-01,0.445,
2011-04,0.441,
2011-07,0.461,
2011-10,0.452,
2012-01,0.454,
2012-04,0.523,
2012-07,0.526,
2012-10,0.520,
2013-01,0.528,
2013-04,0.536,
2013-07,0.545,
2013-10,0.552,
2014-01,0.551,
2014-04,0.514,
2014-07,0.517,
