"",BBFB1.Q.N.DE.1A.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.1A.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:57,
1991-01,490.474,
1991-04,311.358,
1991-07,301.243,
1991-10,109.843,
1992-01,140.477,
1992-04,205.170,
1992-07,-188.066,
1992-10,119.071,
1993-01,91.538,
1993-04,120.408,
1993-07,78.987,
1993-10,147.160,
1994-01,76.261,
1994-04,264.904,
1994-07,30.617,
1994-10,48.468,
1995-01,-83.751,
1995-04,198.375,
1995-07,19.753,
1995-10,324.429,
1996-01,3.006,
1996-04,422.253,
1996-07,-106.368,
1996-10,392.207,
1997-01,197.958,
1997-04,25.805,
1997-07,14.218,
1997-10,342.214,
1998-01,108.519,
1998-04,1679.651,
1998-07,-1319.987,
1998-10,952.655,
1999-01,-15.381,
1999-04,68.752,
1999-07,116.155,
1999-10,46.333,
2000-01,555.376,
2000-04,-136.236,
2000-07,321.390,
2000-10,17.377,
2001-01,169.255,
2001-04,628.304,
2001-07,-54.873,
2001-10,156.146,
2002-01,334.944,
2002-04,241.995,
2002-07,-38.337,
2002-10,106.488,
2003-01,276.642,
2003-04,350.551,
2003-07,-149.911,
2003-10,283.731,
2004-01,300.520,
2004-04,142.862,
2004-07,243.759,
2004-10,253.823,
2005-01,655.517,
2005-04,16.574,
2005-07,273.059,
2005-10,586.765,
2006-01,-471.712,
2006-04,884.648,
2006-07,27.275,
2006-10,479.479,
2007-01,-1177.281,
2007-04,744.976,
2007-07,-941.136,
2007-10,14.393,
2008-01,169.421,
2008-04,989.700,
2008-07,-168.337,
2008-10,-413.648,
2009-01,314.815,
2009-04,620.623,
2009-07,-102.921,
2009-10,68.452,
2010-01,-259.868,
2010-04,96.001,
2010-07,498.814,
2010-10,-399.167,
2011-01,-74.000,
2011-04,-163.119,
2011-07,4.571,
2011-10,-23.194,
2012-01,168.876,
2012-04,-10.464,
2012-07,-3.057,
2012-10,79.519,
2013-01,-90.374,
2013-04,82.785,
2013-07,72.274,
2013-10,431.637,
2014-01,505.895,Provisional value
2014-04,-369.399,Provisional value
2014-07,136.496,Provisional value
2014-10,-136.482,Provisional value
