"",BBK01.CEH02Q,BBK01.CEH02Q_FLAGS
"",External financing (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:13,
1991-01,46.3,
1991-04,39.3,
1991-07,50.7,
1991-10,98.0,
1992-01,55.3,
1992-04,45.8,
1992-07,97.3,
1992-10,60.0,
1993-01,71.6,
1993-04,62.7,
1993-07,82.0,
1993-10,155.1,
1994-01,59.2,
1994-04,59.7,
1994-07,51.2,
1994-10,105.7,
1995-01,55.0,
1995-04,79.2,
1995-07,91.0,
1995-10,130.4,
1996-01,110.6,
1996-04,76.3,
1996-07,59.0,
1996-10,144.2,
1997-01,147.7,
1997-04,96.3,
1997-07,79.1,
1997-10,135.2,
1998-01,163.4,
1998-04,145.9,
1998-07,86.4,
1998-10,174.5,
1999-01,160.2,
1999-04,126.9,
1999-07,95.1,
1999-10,162.7,
2000-01,195.2,
2000-04,84.4,
2000-07,74.0,
2000-10,112.1,
2001-01,265.6,
2001-04,-5.5,
2001-07,34.0,
2001-10,63.9,
2002-01,87.9,
2002-04,57.2,
2002-07,103.5,
2002-10,49.1,
2003-01,121.8,
2003-04,67.1,
2003-07,12.2,
2003-10,75.1,
2004-01,130.8,
2004-04,-10.5,
2004-07,77.9,
2004-10,42.3,
2005-01,158.8,
2005-04,71.5,
2005-07,90.6,
2005-10,12.7,
2006-01,190.5,
2006-04,101.5,
2006-07,94.7,
2006-10,51.7,
2007-01,155.5,
2007-04,150.7,
2007-07,106.7,
2007-10,97.5,
2008-01,209.5,
2008-04,53.8,
2008-07,124.7,
2008-10,-13.7,
2009-01,94.5,
2009-04,-27.7,
2009-07,-74.7,
2009-10,-14.2,
2010-01,50.2,
2010-04,202.9,
2010-07,-57.8,
2010-10,-28.3,
2011-01,-36.4,
2011-04,74.5,
2011-07,182.7,
2011-10,-103.2,
2012-01,257.8,
2012-04,137.6,
2012-07,29.6,
2012-10,-118.7,
2013-01,41.2,
2013-04,41.6,
2013-07,-158.2,
2013-10,-36.7,
2014-01,110.8,
