"",BBSF2.M.1.P.00000.SON01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.SON01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Other funds / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:14,
2009-09,38,
2009-10,40,
2009-11,40,
2009-12,24,
2010-01,24,
2010-02,24,
2010-03,24,
2010-04,24,
2010-05,24,
2010-06,24,
2010-07,25,
2010-08,25,
2010-09,25,
2010-10,25,
2010-11,25,
2010-12,27,
2011-01,27,
2011-02,27,
2011-03,27,
2011-04,21,
2011-05,25,
2011-06,25,
2011-07,25,
2011-08,25,
2011-09,25,
2011-10,27,
2011-11,27,
2011-12,29,
2012-01,29,
2012-02,29,
2012-03,30,
2012-04,31,
2012-05,31,
2012-06,31,
2012-07,31,
2012-08,31,
2012-09,31,
2012-10,31,
2012-11,27,
2012-12,27,
2013-01,27,
2013-02,27,
2013-03,28,
2013-04,27,
2013-05,26,
2013-06,26,
2013-07,27,
2013-08,28,
2013-09,28,
2013-10,30,
2013-11,30,
2013-12,29,
2014-01,30,
2014-02,30,
2014-03,30,
2014-04,30,
2014-05,38,
2014-06,34,
2014-07,34,
2014-08,34,
2014-09,32,
2014-10,32,
2014-11,34,
