"",BBK01.OEAF15O,BBK01.OEAF15O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:57,
2002-01,1.933,
2002-04,1.938,
2002-07,1.994,
2002-10,1.939,
2003-01,1.828,
2003-04,1.831,
2003-07,1.830,
2003-10,1.783,
2004-01,1.655,
2004-04,1.670,
2004-07,1.647,
2004-10,1.602,
2005-01,1.548,
2005-04,1.542,
2005-07,1.539,
2005-10,1.513,
2006-01,1.463,
2006-04,1.476,
2006-07,1.490,
2006-10,1.374,
2007-01,1.375,
2007-04,1.366,
2007-07,1.364,
2007-10,1.324,
2008-01,1.303,
2008-04,1.317,
2008-07,1.332,
2008-10,1.309,
2009-01,1.260,
2009-04,1.242,
2009-07,1.221,
2009-10,1.175,
2010-01,1.153,
2010-04,1.182,
2010-07,1.176,
2010-10,1.096,
2011-01,1.099,
2011-04,1.107,
2011-07,1.116,
2011-10,1.042,
2012-01,1.200,
2012-04,1.226,
2012-07,1.119,
2012-10,1.046,
2013-01,1.000,
2013-04,0.981,
2013-07,1.013,
2013-10,0.948,
2014-01,0.949,
2014-04,0.965,
2014-07,0.964,
