"",BBK01.BJ8072,BBK01.BJ8072_FLAGS
"",General government deficit / surplus as defined in the Maastricht Treaty as a % of GDP - Germany - local government,
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 16:34:54,
1991,0.147,
1992,-0.156,
1993,-0.026,
1994,-0.084,
1995,-0.184,
1996,-0.027,
1997,-0.062,
1998,0.127,
1999,0.180,
2000,0.155,
2001,-0.162,
2002,-0.272,
2003,-0.376,
2004,-0.155,
2005,-0.004,
2006,0.141,
2007,0.446,
2008,0.362,
2009,-0.110,
2010,-0.239,
2011,0.052,Provisional value
2012,0.172,Provisional value
2013,0.190,Provisional value
2014,0.060,Provisional value
