"",BBK01.OEBB14U,BBK01.OEBB14U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:04,
2002-01,0.150,
2002-04,0.143,
2002-07,0.143,
2002-10,0.154,
2003-01,0.159,
2003-04,0.144,
2003-07,0.132,
2003-10,0.137,
2004-01,0.134,
2004-04,0.131,
2004-07,0.132,
2004-10,0.127,
2005-01,0.129,
2005-04,0.146,
2005-07,0.138,
2005-10,0.134,
2006-01,0.138,
2006-04,0.135,
2006-07,0.129,
2006-10,0.119,
2007-01,0.110,
2007-04,0.109,
2007-07,0.101,
2007-10,0.101,
2008-01,0.105,
2008-04,0.110,
2008-07,0.106,
2008-10,0.104,
2009-01,0.107,
2009-04,0.098,
2009-07,0.088,
2009-10,0.086,
2010-01,0.087,
2010-04,0.088,
2010-07,0.087,
2010-10,0.082,
2011-01,0.085,
2011-04,0.088,
2011-07,0.087,
2011-10,0.084,
2012-01,0.087,
2012-04,0.091,
2012-07,0.090,
2012-10,0.085,
2013-01,0.087,
2013-04,0.084,
2013-07,0.088,
2013-10,0.087,
2014-01,0.087,
2014-04,0.084,
2014-07,0.084,
