"",BBK01.OEAH30R,BBK01.OEAH30R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:43,
2002-01,1.031,
2002-04,1.041,
2002-07,1.155,
2002-10,1.242,
2003-01,0.975,
2003-04,1.032,
2003-07,1.116,
2003-10,1.295,
2004-01,1.088,
2004-04,1.177,
2004-07,1.272,
2004-10,1.448,
2005-01,1.232,
2005-04,1.299,
2005-07,1.436,
2005-10,1.596,
2006-01,1.327,
2006-04,1.392,
2006-07,1.512,
2006-10,1.696,
2007-01,1.491,
2007-04,1.514,
2007-07,1.570,
2007-10,1.537,
2008-01,1.442,
2008-04,1.327,
2008-07,1.468,
2008-10,1.753,
2009-01,2.002,
2009-04,1.996,
2009-07,2.237,
2009-10,2.748,
2010-01,2.520,
2010-04,2.644,
2010-07,2.808,
2010-10,2.914,
2011-01,2.666,
2011-04,2.621,
2011-07,2.764,
2011-10,2.344,
2012-01,2.207,
2012-04,2.294,
2012-07,2.665,
2012-10,2.738,
2013-01,2.643,
2013-04,2.638,
2013-07,2.909,
2013-10,2.946,
2014-01,2.846,
2014-04,2.862,
2014-07,3.163,
