"",BBK01.OEBB06U,BBK01.OEBB06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:01,
2002-01,1.076,
2002-04,1.099,
2002-07,1.107,
2002-10,1.132,
2003-01,1.097,
2003-04,1.074,
2003-07,1.040,
2003-10,1.060,
2004-01,1.052,
2004-04,0.984,
2004-07,1.004,
2004-10,0.959,
2005-01,1.005,
2005-04,1.005,
2005-07,1.047,
2005-10,0.981,
2006-01,0.979,
2006-04,0.949,
2006-07,0.938,
2006-10,0.942,
2007-01,0.958,
2007-04,1.078,
2007-07,0.994,
2007-10,0.945,
2008-01,1.034,
2008-04,1.029,
2008-07,0.941,
2008-10,0.927,
2009-01,0.910,
2009-04,0.866,
2009-07,0.882,
2009-10,0.748,
2010-01,0.756,
2010-04,0.792,
2010-07,0.699,
2010-10,0.611,
2011-01,0.671,
2011-04,0.686,
2011-07,0.694,
2011-10,0.654,
2012-01,0.702,
2012-04,0.673,
2012-07,0.676,
2012-10,0.627,
2013-01,0.673,
2013-04,0.681,
2013-07,0.676,
2013-10,0.634,
2014-01,0.686,
2014-04,0.745,
2014-07,0.700,
