"",BBK01.OEAA45K,BBK01.OEAA45K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:11,
2002-01,15.591,
2002-04,15.502,
2002-07,17.509,
2002-10,17.255,
2003-01,17.088,
2003-04,17.252,
2003-07,17.062,
2003-10,17.014,
2004-01,16.878,
2004-04,16.654,
2004-07,16.055,
2004-10,15.194,
2005-01,15.242,
2005-04,15.745,
2005-07,15.529,
2005-10,15.659,
2006-01,15.822,
2006-04,15.590,
2006-07,15.483,
2006-10,14.962,
2007-01,14.961,
2007-04,15.645,
2007-07,15.253,
2007-10,15.404,
2008-01,15.257,
2008-04,14.932,
2008-07,14.618,
2008-10,14.116,
2009-01,13.609,
2009-04,13.238,
2009-07,13.027,
2009-10,12.651,
2010-01,12.339,
2010-04,12.006,
2010-07,11.785,
2010-10,11.560,
2011-01,12.011,
2011-04,11.616,
2011-07,11.503,
2011-10,11.250,
2012-01,10.809,
2012-04,9.777,
2012-07,10.179,
2012-10,10.908,
2013-01,10.556,
2013-04,10.475,
2013-07,10.042,
2013-10,9.714,
2014-01,9.608,
2014-04,9.149,
2014-07,9.009,
