"",BBK01.OEAH34G,BBK01.OEAH34G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:18,
2002-01,0.350,
2002-04,0.365,
2002-07,0.348,
2002-10,0.347,
2003-01,0.309,
2003-04,0.229,
2003-07,0.245,
2003-10,0.184,
2004-01,0.205,
2004-04,0.201,
2004-07,0.199,
2004-10,0.209,
2005-01,0.196,
2005-04,0.262,
2005-07,0.172,
2005-10,0.276,
2006-01,0.227,
2006-04,0.237,
2006-07,0.246,
2006-10,0.323,
2007-01,0.375,
2007-04,0.416,
2007-07,0.515,
2007-10,0.601,
2008-01,0.543,
2008-04,0.543,
2008-07,0.708,
2008-10,0.677,
2009-01,0.520,
2009-04,0.567,
2009-07,0.511,
2009-10,0.670,
2010-01,0.607,
2010-04,0.576,
2010-07,0.585,
2010-10,0.675,
2011-01,0.697,
2011-04,0.648,
2011-07,0.824,
2011-10,0.963,
2012-01,1.028,
2012-04,1.110,
2012-07,1.154,
2012-10,1.361,
2013-01,1.639,
2013-04,1.552,
2013-07,1.402,
2013-10,1.294,
2014-01,1.307,
2014-04,1.355,
2014-07,1.127,
