"",BBEX3.M.BZD.EUR.CA.AA.A01,BBEX3.M.BZD.EUR.CA.AA.A01_FLAGS
"",Exchange rates and comparable rates for the euro in Belize * / EUR 1 = BZD ... (buying),
unit,BZD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:34,
1999-01,2.2569,
1999-02,2.1843,
1999-03,2.1296,
1999-04,2.1009,
1999-05,2.0729,
1999-06,2.0475,
1999-07,2.1201,
1999-08,2.0961,
1999-09,2.1143,
1999-10,2.0723,
1999-11,2.0017,
1999-12,1.9916,
2000-01,1.9411,
2000-02,1.9258,
2000-03,1.8939,
2000-04,1.8011,
2000-05,1.8443,
2000-06,1.8945,
2000-07,1.8324,
2000-08,1.7656,
2000-09,1.7377,
2000-10,1.6687,
2000-11,1.7216,
2000-12,1.8447,
2001-01,1.8423,
2001-02,1.8334,
2001-03,1.7509,
2001-04,1.7597,
2001-05,1.6812,
2001-06,1.6812,
2001-07,1.7357,
2001-08,1.8156,
2001-09,1.8102,
2001-10,1.7926,
2001-11,1.7640,
2001-12,1.7472,
2002-01,1.7123,
2002-02,1.7151,
2002-03,1.7295,
2002-04,1.7858,
2002-05,1.8610,
2002-06,1.9775,
2002-07,1.9395,
2002-08,1.9494,
2002-09,1.9547,
2002-10,1.9555,
2002-11,1.9680,
2002-12,2.0790,
2003-01,2.1443,
2003-02,2.1375,
2003-03,2.1599,
2003-04,2.2067,
2003-05,2.3437,
2003-06,2.2654,
2003-07,2.2438,
2003-08,2.1663,
2003-09,2.3100,
2003-10,2.3041,
2003-11,2.3778,
2003-12,2.5039,
2004-01,2.4551,
2004-02,2.4619,
2004-03,2.4234,
2004-04,2.3685,
2004-05,2.4183,
2004-06,2.4097,
2004-07,2.3867,
2004-08,2.4010,
2004-09,2.4601,
2004-10,2.5251,
2004-11,2.6357,
2004-12,2.7004,
2005-01,2.5842,
2005-02,2.6282,
2005-03,2.5701,
2005-04,2.5687,
2005-05,2.4446,
2005-06,2.3972,
2005-07,2.3974,
2005-08,2.4183,
2005-09,2.3873,
2005-10,2.3836,
2005-11,2.3332,
2005-12,2.3388,
2006-01,2.4024,
2006-02,2.3542,
2006-03,2.3996,
2006-04,2.4855,
2006-05,2.5511,
2006-06,2.5204,
2006-07,2.5311,
2006-08,2.5477,
2006-09,2.5098,
2006-10,2.5170,
2006-11,2.6169,
2006-12,2.6110,
2007-01,2.5681,
2007-02,2.6191,
2007-03,2.6403,
2007-04,2.6972,
2007-05,2.6671,
2007-06,2.6774,
2007-07,2.7174,
2007-08,2.7170,
2007-09,2.8110,
2007-10,2.8641,
2007-11,2.9264,
2007-12,2.9184,
2008-01,2.9480,
2008-02,3.0069,
2008-03,3.1347,
2008-04,3.0808,
2008-05,3.0745,
2008-06,3.1252,
2008-07,3.0949,
2008-08,2.9212,
2008-09,2.8356,
2008-10,2.5291,
2008-11,2.5231,
2008-12,2.7590,
2009-01,2.5408,
2009-02,2.5067,
2009-03,2.6383,
2009-04,2.6318,
2009-05,2.7949,
2009-06,2.8021,
2009-07,2.8029,
2009-08,2.8294,
2009-09,2.9030,
2009-10,2.9341,
2009-11,2.9783,
2009-12,2.8560,
2010-01,2.7717,
2010-02,2.6910,
2010-03,2.6647,
2010-04,2.6351,
2010-05,2.4379,
2010-06,2.4228,
2010-07,2.5776,
2010-08,2.5164,
2010-09,2.7033,
2010-10,2.7464,
2010-11,2.5784,
2010-12,2.6508,
2011-01,2.7095,
2011-02,2.7343,
2011-03,2.8173,
2011-04,2.9412,
2011-05,2.8560,
2011-06,2.8687,
2011-07,2.8395,
2011-08,2.8657,
2011-09,2.6752,
2011-10,2.7759,
2011-11,2.6788,
2011-12,2.5656,
2012-01,2.6133,
2012-02,2.6639,
2012-03,2.6322,
2012-04,2.6201,
2012-05,2.4551,
2012-06,2.5073,
2012-07,2.4349,
2012-08,2.5009,
2012-09,2.5618,
2012-10,2.5077,
2012-11,2.5773,
2012-12,2.6151,
2013-01,2.6867,
2013-02,2.6024,
2013-03,2.5398,
2013-04,2.5921,
2013-05,2.5759,
2013-06,2.5945,
2013-07,2.6213,
2013-08,2.6199,
2013-09,2.6829,
2013-10,2.6998,
2013-11,2.6970,
2013-12,2.7317,
2014-01,2.6793,
2014-02,2.7374,
2014-03,2.7311,
2014-04,2.7477,
2014-05,2.7004,
2014-06,2.7085,
2014-07,2.6552,
2014-08,2.6119,
2014-09,2.4999,
2014-10,2.4801,
2014-11,2.4753,
2014-12,2.4068,
2015-01,2.2452,
"","Source: Since 2010: Central Bank of Belize, Belize City. Until 2009: Atlantic Bank Limited, Belize City.",
"",Methodology: * Euro exchange rates are available from the end of January 2010 onwards. The previously quoted values were calculated on the basis of the exchange rates for the US dollar in Belize in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.,
