"",BBK01.OECI01P,BBK01.OECI01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:23,
2002-01,0.884,
2002-04,0.796,
2002-07,0.937,
2002-10,0.778,
2003-01,0.896,
2003-04,0.850,
2003-07,0.985,
2003-10,1.256,
2004-01,1.144,
2004-04,1.174,
2004-07,0.969,
2004-10,1.295,
2005-01,1.610,
2005-04,1.642,
2005-07,1.618,
2005-10,1.606,
2006-01,1.467,
2006-04,1.395,
2006-07,1.350,
2006-10,1.390,
2007-01,1.414,
2007-04,1.455,
2007-07,1.657,
2007-10,1.844,
2008-01,1.732,
2008-04,1.736,
2008-07,1.742,
2008-10,2.004,
2009-01,2.178,
2009-04,2.088,
2009-07,2.217,
2009-10,2.370,
2010-01,2.180,
2010-04,2.253,
2010-07,2.262,
2010-10,2.281,
2011-01,2.001,
2011-04,2.023,
2011-07,2.099,
2011-10,2.259,
2012-01,2.154,
2012-04,2.299,
2012-07,2.278,
2012-10,2.413,
2013-01,2.151,
2013-04,1.984,
2013-07,1.950,
2013-10,1.960,
2014-01,1.946,
2014-04,1.976,
2014-07,1.907,
