"",BBFB1.Q.N.DE.S1.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.S1.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:45,
1991-01,6.590,
1991-04,-115.100,
1991-07,-34.527,
1991-10,16.047,
1992-01,26.410,
1992-04,10.900,
1992-07,-23.787,
1992-10,508.076,
1993-01,-69.583,
1993-04,115.736,
1993-07,71.586,
1993-10,220.459,
1994-01,24.478,
1994-04,20.943,
1994-07,-22.938,
1994-10,-3.332,
1995-01,27.585,
1995-04,79.540,
1995-07,24.786,
1995-10,44.763,
1996-01,91.939,
1996-04,-71.692,
1996-07,25.478,
1996-10,43.489,
1997-01,-37.911,
1997-04,85.672,
1997-07,473.209,
1997-10,484.813,
1998-01,-196.646,
1998-04,-35.907,
1998-07,53.553,
1998-10,100.924,
1999-01,214.119,
1999-04,-2163.635,
1999-07,-114.878,
1999-10,-192.120,
2000-01,-119.478,
2000-04,230.118,
2000-07,-264.899,
2000-10,111.396,
2001-01,8.617,
2001-04,95.159,
2001-07,-281.654,
2001-10,316.166,
2002-01,-91.773,
2002-04,-34.140,
2002-07,-224.471,
2002-10,165.386,
2003-01,255.960,
2003-04,231.047,
2003-07,-194.099,
2003-10,146.129,
2004-01,-68.126,
2004-04,16.281,
2004-07,146.661,
2004-10,-160.308,
2005-01,-265.787,
2005-04,128.634,
2005-07,-285.073,
2005-10,-215.096,
2006-01,-92.242,
2006-04,-68.370,
2006-07,-167.371,
2006-10,-57.263,
2007-01,31.673,
2007-04,108.364,
2007-07,3.321,
2007-10,0.523,
2008-01,-123.371,
2008-04,-297.978,
2008-07,550.659,
2008-10,-845.198,
2009-01,520.056,
2009-04,-951.776,
2009-07,60.597,
2009-10,152.541,
2010-01,235.318,
2010-04,162.925,
2010-07,400.906,
2010-10,241.159,
2011-01,548.257,
2011-04,117.446,
2011-07,135.283,
2011-10,-165.431,
2012-01,-130.950,
2012-04,6.534,
2012-07,164.532,
2012-10,-213.378,
2013-01,33.320,
2013-04,-572.079,
2013-07,-85.822,
2013-10,-35.055,
2014-01,219.899,Provisional value
2014-04,26.472,Provisional value
2014-07,-19.953,Provisional value
2014-10,-537.861,Provisional value
