"",BBK01.CEFZ0C,BBK01.CEFZ0C_FLAGS
"","Other accounts receivable, excluding trade credits and advances                                                debtor: Total           creditor: General government",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:39,
1999-01,94.7,
1999-04,89.3,
1999-07,87.7,
1999-10,100.7,
2000-01,119.7,
2000-04,111.2,
2000-07,130.9,
2000-10,101.2,
2001-01,107.8,
2001-04,102.6,
2001-07,105.0,
2001-10,102.6,
2002-01,110.8,
2002-04,100.3,
2002-07,110.3,
2002-10,100.6,
2003-01,106.7,
2003-04,94.6,
2003-07,91.9,
2003-10,101.0,
2004-01,118.7,
2004-04,109.8,
2004-07,109.0,
2004-10,108.4,
2005-01,111.5,
2005-04,106.8,
2005-07,109.5,
2005-10,106.3,
2006-01,116.1,
2006-04,99.8,
2006-07,98.3,
2006-10,96.3,
2007-01,110.4,
2007-04,104.2,
2007-07,103.4,
2007-10,104.1,
2008-01,109.1,
2008-04,98.5,
2008-07,104.2,
2008-10,103.6,
2009-01,120.1,
2009-04,112.5,
2009-07,113.4,
2009-10,112.1,
2010-01,110.1,
2010-04,103.5,
2010-07,78.9,
2010-10,116.2,
2011-01,121.2,
2011-04,119.0,
2011-07,122.3,
2011-10,114.1,
2012-01,119.3,
2012-04,116.7,
2012-07,130.7,
2012-10,113.6,
2013-01,125.8,
2013-04,117.2,
2013-07,114.1,
2013-10,116.8,
2014-01,109.4,
2014-04,107.7,
2014-07,112.0,
