"",BBFN1.M.DE.N.1.A.W03100.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W03100.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign banks arising from financial operations / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:56,
1995-01,0.224,
1995-02,0.221,
1995-03,0.224,
1995-04,0.223,
1995-05,0.222,
1995-06,0.215,
1995-07,0.227,
1995-08,0.230,
1995-09,0.234,
1995-10,0.229,
1995-11,0.222,
1995-12,0.220,
1996-01,0.219,
1996-02,0.218,
1996-03,0.224,
1996-04,0.224,
1996-05,0.215,
1996-06,0.203,
1996-07,0.218,
1996-08,0.222,
1996-09,0.225,
1996-10,0.225,
1996-11,0.218,
1996-12,0.210,
1997-01,0.218,
1997-02,0.220,
1997-03,0.223,
1997-04,0.228,
1997-05,0.223,
1997-06,0.222,
1997-07,0.249,
1997-08,0.261,
1997-09,0.262,
1997-10,0.272,
1997-11,0.259,
1997-12,0.266,
1998-01,0.279,
1998-02,0.276,
1998-03,0.309,
1998-04,0.307,
1998-05,0.326,
1998-06,0.330,
1998-07,0.325,
1998-08,0.337,
1998-09,0.363,
1998-10,0.346,
1998-11,0.331,
1998-12,0.323,
1999-01,0.324,
1999-02,0.343,
1999-03,0.340,
1999-04,0.367,
1999-05,0.335,
1999-06,0.330,
1999-07,0.331,
1999-08,0.333,
1999-09,0.348,
1999-10,0.360,
1999-11,0.366,
1999-12,0.385,
2000-01,0.383,
2000-02,0.389,
2000-03,0.388,
2000-04,0.391,
2000-05,0.385,
2000-06,0.381,
2000-07,0.391,
2000-08,0.390,
2000-09,0.419,
2000-10,0.402,
2000-11,0.408,
2000-12,0.425,
2001-01,0.428,
2001-02,0.432,
2001-03,0.416,
2001-04,0.424,
2001-05,0.398,
2001-06,0.409,
2001-07,0.404,
2001-08,0.401,
2001-09,0.405,
2001-10,0.410,
2001-11,0.396,
2001-12,0.404,
2002-01,0.409,
2002-02,0.402,
2002-03,0.398,
2002-04,0.421,
2002-05,0.448,
2002-06,0.426,
2002-07,0.435,
2002-08,0.434,
2002-09,0.448,
2002-10,0.449,
2002-11,0.441,
2002-12,0.433,
2003-01,0.408,
2003-02,0.412,
2003-03,0.386,
2003-04,0.401,
2003-05,0.394,
2003-06,0.392,
2003-07,0.382,
2003-08,0.387,
2003-09,0.391,
2003-10,0.471,
2003-11,0.474,
2003-12,0.495,
2004-01,0.540,
2004-02,0.542,
2004-03,0.584,
2004-04,0.588,
2004-05,0.565,
2004-06,0.572,
2004-07,0.577,
2004-08,0.576,
2004-09,0.573,
2004-10,0.596,
2004-11,0.594,
2004-12,0.586,
2005-01,0.576,
2005-02,0.592,
2005-03,0.602,
2005-04,0.605,
2005-05,0.635,
2005-06,0.675,
2005-07,0.682,
2005-08,0.688,
2005-09,0.708,
2005-10,0.720,
2005-11,0.714,
2005-12,0.733,
2006-01,0.720,
2006-02,0.737,
2006-03,0.728,
2006-04,0.741,
2006-05,0.725,
2006-06,0.710,
2006-07,0.726,
2006-08,0.726,
2006-09,0.717,
2006-10,0.674,
2006-11,0.650,
2006-12,0.664,
2007-01,0.599,
2007-02,0.596,
2007-03,0.604,
2007-04,0.608,
2007-05,0.629,
2007-06,0.634,
2007-07,0.617,
2007-08,0.635,
2007-09,0.618,
2007-10,0.630,
2007-11,0.617,
2007-12,0.636,
2008-01,0.658,
2008-02,0.683,
2008-03,0.649,
2008-04,0.682,
2008-05,0.718,
2008-06,0.714,
2008-07,0.740,
2008-08,0.745,
2008-09,0.771,
2008-10,0.784,
2008-11,0.773,
2008-12,0.770,
2009-01,0.774,
2009-02,0.760,
2009-03,0.756,
2009-04,0.727,
2009-05,0.732,
2009-06,0.689,
2009-07,0.687,
2009-08,0.678,
2009-09,0.625,
2009-10,0.616,
2009-11,0.609,
2009-12,0.617,
2010-01,0.593,
2010-02,0.590,
2010-03,0.588,
2010-04,0.585,
2010-05,0.591,
2010-06,0.609,
2010-07,0.601,
2010-08,0.576,
2010-09,0.495,
2010-10,0.500,
2010-11,0.506,
2010-12,0.495,
2011-01,0.492,
2011-02,0.487,
2011-03,0.466,
2011-04,0.463,
2011-05,0.493,
2011-06,0.480,
2011-07,0.505,
2011-08,0.515,
2011-09,0.514,
2011-10,0.520,
2011-11,0.520,
2011-12,0.547,
2012-01,0.550,
2012-02,0.550,
2012-03,0.668,
2012-04,0.562,
2012-05,0.596,
2012-06,0.595,
2012-07,0.617,
2012-08,0.583,
2012-09,0.540,
2012-10,0.552,
2012-11,0.563,
2012-12,0.549,
2013-01,0.534,
2013-02,0.540,
2013-03,0.526,
2013-04,0.539,
2013-05,0.543,
2013-06,0.548,
2013-07,0.491,
2013-08,0.505,
2013-09,1.808,
2013-10,1.842,
2013-11,1.840,
2013-12,1.839,
2014-01,1.865,
2014-02,1.833,
2014-03,1.801,
2014-04,1.984,
2014-05,2.035,
2014-06,2.058,
2014-07,2.094,
2014-08,2.106,
2014-09,2.251,
2014-10,2.266,
2014-11,2.257,
2014-12,2.371,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
