"",BBFB1.M.N.DE.W1.S1Z.S1.T.C.D4P.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1Z.S1.T.C.D4P.O.F._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Other Investment income / Enterprises and households / Income from investment fund Shares / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:47,
1991-01,932.390,
1991-02,936.762,
1991-03,938.874,
1991-04,954.554,
1991-05,963.420,
1991-06,968.905,
1991-07,969.176,
1991-08,976.138,
1991-09,987.089,
1991-10,996.120,
1991-11,1010.028,
1991-12,1020.025,
1992-01,1025.593,
1992-02,1027.979,
1992-03,1025.072,
1992-04,1018.662,
1992-05,1016.952,
1992-06,1024.000,
1992-07,1037.921,
1992-08,1018.671,
1992-09,1005.706,
1992-10,995.365,
1992-11,992.353,
1992-12,972.159,
1993-01,979.725,
1993-02,971.632,
1993-03,968.973,
1993-04,971.932,
1993-05,966.026,
1993-06,948.274,
1993-07,921.626,
1993-08,910.896,
1993-09,896.788,
1993-10,905.632,
1993-11,879.483,
1993-12,883.652,
1994-01,864.132,
1994-02,848.384,
1994-03,840.127,
1994-04,823.186,
1994-05,806.982,
1994-06,798.535,
1994-07,802.742,
1994-08,794.793,
1994-09,803.932,
1994-10,805.514,
1994-11,809.244,
1994-12,795.513,
1995-01,801.481,
1995-02,787.923,
1995-03,779.866,
1995-04,765.080,
1995-05,760.862,
1995-06,750.748,
1995-07,725.885,
1995-08,718.215,
1995-09,694.860,
1995-10,674.142,
1995-11,650.729,
1995-12,631.502,
1996-01,621.079,
1996-02,604.120,
1996-03,591.919,
1996-04,603.569,
1996-05,593.703,
1996-06,588.326,
1996-07,579.169,
1996-08,573.877,
1996-09,570.883,
1996-10,573.761,
1996-11,591.803,
1996-12,600.912,
1997-01,626.137,
1997-02,620.577,
1997-03,625.914,
1997-04,623.935,
1997-05,623.273,
1997-06,634.549,
1997-07,639.973,
1997-08,659.171,
1997-09,655.064,
1997-10,649.214,
1997-11,639.716,
1997-12,650.115,
1998-01,666.990,
1998-02,674.475,
1998-03,672.754,
1998-04,675.466,
1998-05,672.765,
1998-06,678.237,
1998-07,670.969,
1998-08,650.961,
1998-09,650.082,
1998-10,637.646,
1998-11,638.668,
1998-12,633.518,
1999-01,624.201,
1999-02,604.526,
1999-03,611.875,
1999-04,641.231,
1999-05,654.620,
1999-06,642.189,
1999-07,654.256,
1999-08,653.841,
1999-09,671.606,
1999-10,675.140,
1999-11,688.553,
1999-12,694.866,
2000-01,717.006,
2000-02,738.310,
2000-03,750.524,
2000-04,780.812,
2000-05,803.082,
2000-06,804.987,
2000-07,838.829,
2000-08,841.710,
2000-09,839.430,
2000-10,827.836,
2000-11,815.524,
2000-12,809.532,
2001-01,817.724,
2001-02,803.962,
2001-03,777.888,
2001-04,729.970,
2001-05,700.061,
2001-06,677.102,
2001-07,646.891,
2001-08,641.635,
2001-09,629.077,
2001-10,633.784,
2001-11,621.181,
2001-12,626.916,
2002-01,613.853,
2002-02,621.170,
2002-03,621.447,
2002-04,622.268,
2002-05,620.940,
2002-06,620.144,
2002-07,627.060,
2002-08,617.660,
2002-09,609.172,
2002-10,616.256,
2002-11,608.170,
2002-12,599.321,
2003-01,641.276,
2003-02,642.386,
2003-03,654.448,
2003-04,711.942,
2003-05,720.392,
2003-06,730.506,
2003-07,771.385,
2003-08,765.448,
2003-09,791.044,
2003-10,792.427,
2003-11,812.303,
2003-12,839.428,
2004-01,830.993,
2004-02,844.078,
2004-03,860.839,
2004-04,840.895,
2004-05,854.187,
2004-06,891.441,
2004-07,903.159,
2004-08,928.255,
2004-09,941.610,
2004-10,946.408,
2004-11,971.852,
2004-12,1006.247,
2005-01,1002.714,
2005-02,998.613,
2005-03,1003.176,
2005-04,1016.571,
2005-05,1026.360,
2005-06,1024.751,
2005-07,1030.260,
2005-08,1040.809,
2005-09,1058.044,
2005-10,1074.690,
2005-11,1097.820,
2005-12,1127.417,
2006-01,1156.109,
2006-02,1153.088,
2006-03,1158.749,
2006-04,1173.878,
2006-05,1201.187,
2006-06,1206.305,
2006-07,1221.059,
2006-08,1229.796,
2006-09,1238.446,
2006-10,1251.290,
2006-11,1285.492,
2006-12,1303.474,
2007-01,1316.979,
2007-02,1333.844,
2007-03,1353.032,
2007-04,1377.295,
2007-05,1396.659,
2007-06,1420.241,
2007-07,1444.293,
2007-08,1460.234,
2007-09,1461.497,
2007-10,1507.902,
2007-11,1506.169,
2007-12,1533.440,
2008-01,1490.181,
2008-02,1476.709,
2008-03,1452.984,
2008-04,1406.329,
2008-05,1355.195,
2008-06,1303.287,
2008-07,1250.814,
2008-08,1212.573,
2008-09,1176.268,
2008-10,1108.339,
2008-11,1059.500,
2008-12,1035.118,
2009-01,943.817,
2009-02,889.783,
2009-03,869.168,
2009-04,867.973,
2009-05,866.670,
2009-06,873.874,
2009-07,905.221,
2009-08,911.075,
2009-09,916.909,
2009-10,930.626,
2009-11,941.485,
2009-12,962.790,
2010-01,1026.804,
2010-02,1032.708,
2010-03,1050.300,
2010-04,1068.505,
2010-05,1077.803,
2010-06,1084.502,
2010-07,1086.934,
2010-08,1100.066,
2010-09,1113.746,
2010-10,1156.585,
2010-11,1177.021,
2010-12,1182.725,
2011-01,1201.300,
2011-02,1212.848,
2011-03,1214.337,
2011-04,1219.276,
2011-05,1231.855,
2011-06,1233.314,
2011-07,1255.504,
2011-08,1260.286,
2011-09,1317.289,
2011-10,1284.564,
2011-11,1325.036,
2011-12,1307.741,
2012-01,1286.335,
2012-02,1289.395,
2012-03,1293.469,
2012-04,1307.652,
2012-05,1316.258,
2012-06,1319.980,
2012-07,1331.174,
2012-08,1332.153,
2012-09,1289.309,
2012-10,1293.497,
2012-11,1299.055,
2012-12,1299.749,
2013-01,1332.671,
2013-02,1316.641,
2013-03,1307.287,
2013-04,1297.860,
2013-05,1286.727,
2013-06,1253.317,
2013-07,1209.022,
2013-08,1196.956,
2013-09,1190.856,
2013-10,1197.389,
2013-11,1193.028,
2013-12,1165.385,
2014-01,1191.948,
2014-02,1202.546,Provisional value
2014-03,1191.245,Provisional value
2014-04,1273.439,Provisional value
2014-05,1199.667,Provisional value
2014-06,1181.989,Provisional value
2014-07,1214.415,Provisional value
2014-08,1182.205,Provisional value
2014-09,1199.812,
2014-10,1187.102,
2014-11,1183.337,
2014-12,1181.067,Provisional value
