"",BBK01.OEBL09P,BBK01.OEBL09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:07,
2002-01,0.087,
2002-04,0.078,
2002-07,0.082,
2002-10,0.079,
2003-01,0.072,
2003-04,0.068,
2003-07,0.065,
2003-10,0.063,
2004-01,0.061,
2004-04,0.057,
2004-07,0.052,
2004-10,0.054,
2005-01,0.065,
2005-04,0.064,
2005-07,0.064,
2005-10,0.063,
2006-01,0.057,
2006-04,0.057,
2006-07,0.051,
2006-10,0.054,
2007-01,0.087,
2007-04,0.106,
2007-07,0.121,
2007-10,0.150,
2008-01,0.166,
2008-04,0.166,
2008-07,0.173,
2008-10,0.258,
2009-01,0.253,
2009-04,0.243,
2009-07,0.239,
2009-10,0.179,
2010-01,0.135,
2010-04,0.140,
2010-07,0.132,
2010-10,0.162,
2011-01,0.194,
2011-04,0.204,
2011-07,0.210,
2011-10,0.199,
2012-01,0.177,
2012-04,0.171,
2012-07,0.154,
2012-10,0.127,
2013-01,0.096,
2013-04,0.078,
2013-07,0.071,
2013-10,0.064,
2014-01,0.059,
2014-04,0.056,
2014-07,0.090,
