"",BBK01.OEBO01V,BBK01.OEBO01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:12,
2002-01,2.728,
2002-04,2.630,
2002-07,2.217,
2002-10,2.227,
2003-01,2.318,
2003-04,2.266,
2003-07,2.198,
2003-10,2.238,
2004-01,2.256,
2004-04,2.281,
2004-07,2.277,
2004-10,2.290,
2005-01,3.800,
2005-04,3.879,
2005-07,3.754,
2005-10,3.644,
2006-01,3.605,
2006-04,3.553,
2006-07,3.498,
2006-10,3.475,
2007-01,3.506,
2007-04,3.719,
2007-07,3.748,
2007-10,3.764,
2008-01,3.965,
2008-04,4.028,
2008-07,4.091,
2008-10,4.067,
2009-01,4.429,
2009-04,4.389,
2009-07,4.383,
2009-10,4.448,
2010-01,4.363,
2010-04,4.277,
2010-07,4.156,
2010-10,4.153,
2011-01,4.348,
2011-04,4.428,
2011-07,4.369,
2011-10,4.370,
2012-01,4.328,
2012-04,4.476,
2012-07,4.417,
2012-10,4.452,
2013-01,4.381,
2013-04,4.223,
2013-07,4.099,
2013-10,4.041,
2014-01,4.049,
2014-04,4.012,
2014-07,3.954,
