"",BBK01.OEAH65K,BBK01.OEAH65K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:52,
2002-01,0.135,
2002-04,0.139,
2002-07,0.149,
2002-10,0.135,
2003-01,0.128,
2003-04,0.113,
2003-07,0.105,
2003-10,0.100,
2004-01,0.101,
2004-04,0.088,
2004-07,0.072,
2004-10,0.062,
2005-01,0.066,
2005-04,0.063,
2005-07,0.069,
2005-10,0.070,
2006-01,0.077,
2006-04,0.084,
2006-07,0.122,
2006-10,0.184,
2007-01,0.214,
2007-04,0.236,
2007-07,0.251,
2007-10,0.318,
2008-01,0.384,
2008-04,0.455,
2008-07,0.516,
2008-10,0.582,
2009-01,0.654,
2009-04,0.576,
2009-07,0.504,
2009-10,0.401,
2010-01,0.302,
2010-04,0.290,
2010-07,0.291,
2010-10,0.290,
2011-01,0.322,
2011-04,0.327,
2011-07,0.324,
2011-10,0.330,
2012-01,0.261,
2012-04,0.257,
2012-07,0.228,
2012-10,0.230,
2013-01,0.218,
2013-04,0.184,
2013-07,0.159,
2013-10,0.156,
2014-01,0.146,
2014-04,0.173,
2014-07,0.176,
