"",BBK01.OEYM03L,BBK01.OEYM03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:44,
2002-01,1.291,
2002-04,1.171,
2002-07,0.900,
2002-10,0.882,
2003-01,0.889,
2003-04,2.048,
2003-07,1.054,
2003-10,1.278,
2004-01,1.416,
2004-04,1.446,
2004-07,1.814,
2004-10,2.000,
2005-01,2.221,
2005-04,2.332,
2005-07,2.620,
2005-10,2.879,
2006-01,2.323,
2006-04,2.938,
2006-07,3.019,
2006-10,2.968,
2007-01,2.775,
2007-04,3.468,
2007-07,2.878,
2007-10,3.163,
2008-01,3.087,
2008-04,3.567,
2008-07,3.858,
2008-10,2.749,
2009-01,3.156,
2009-04,2.898,
2009-07,1.783,
2009-10,2.083,
2010-01,1.495,
2010-04,1.585,
2010-07,1.601,
2010-10,1.768,
2011-01,2.060,
2011-04,3.085,
2011-07,4.529,
2011-10,2.630,
2012-01,2.272,
2012-04,2.209,
2012-07,3.232,
2012-10,3.080,
2013-01,2.231,
2013-04,2.330,
2013-07,2.821,
2013-10,4.346,
2014-01,2.728,
2014-04,2.049,
2014-07,1.954,
