"",BBAI3.Q.DE.N.V.LE.F4.S1252.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.S1252.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Pension undertakings / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:09,
2005-10,1342,
2006-01,1437,
2006-04,1539,
2006-07,1650,
2006-10,1796,
2007-01,1895,
2007-04,2011,
2007-07,2134,
2007-10,2446,
2008-01,2559,
2008-04,2634,
2008-07,2720,
2008-10,2806,
2009-01,2935,
2009-04,3048,
2009-07,3163,
2009-10,3235,
2010-01,3366,
2010-04,3481,
2010-07,3592,
2010-10,3600,
2011-01,3664,
2011-04,3700,
2011-07,3742,
2011-10,3788,
2012-01,3873,
2012-04,3921,
2012-07,3979,
2012-10,4078,
2013-01,4145,
2013-04,4190,
2013-07,4234,
2013-10,4323,
2014-01,4349,
2014-04,4402,
2014-07,4440,
