"",BBSF2.M.1.T.00000.TOT01.I.F.SSD.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SSD.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Borrowers' note loans,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:13,
2009-09,1717,
2009-10,1725,
2009-11,1900,
2009-12,1793,
2010-01,1892,
2010-02,1897,
2010-03,1868,
2010-04,1832,
2010-05,1869,
2010-06,1851,
2010-07,1875,
2010-08,1957,
2010-09,1977,
2010-10,1976,
2010-11,2065,
2010-12,2521,
2011-01,2495,
2011-02,2480,
2011-03,2448,
2011-04,2607,
2011-05,2587,
2011-06,2466,
2011-07,2466,
2011-08,2504,
2011-09,2407,
2011-10,2433,
2011-11,2435,
2011-12,2606,
2012-01,2221,
2012-02,2439,
2012-03,2432,
2012-04,2493,
2012-05,2581,
2012-06,2614,
2012-07,2564,
2012-08,2701,
2012-09,2705,
2012-10,2699,
2012-11,2734,
2012-12,3111,
2013-01,2965,
2013-02,2895,
2013-03,2832,
2013-04,2672,
2013-05,2635,
2013-06,2612,
2013-07,2631,
2013-08,2630,
2013-09,2551,
2013-10,2989,
2013-11,2705,
2013-12,2863,
2014-01,3022,
2014-02,3484,
2014-03,3819,
2014-04,3384,
2014-05,3379,
2014-06,3419,
2014-07,4028,
2014-08,4891,
2014-09,4473,
2014-10,4498,
2014-11,4557,
