"",BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Monetary financial institutions / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:41,
1991-01,586.160,
1991-02,1577.333,
1991-03,7696.409,
1991-04,-3863.797,
1991-05,-3470.786,
1991-06,2898.731,
1991-07,-1089.474,
1991-08,2604.362,
1991-09,-2807.182,
1991-10,2952.247,
1991-11,773.515,
1991-12,-102.907,
1992-01,1613.478,
1992-02,3626.092,
1992-03,5885.124,
1992-04,2185.153,
1992-05,1132.457,
1992-06,2282.589,
1992-07,-969.199,
1992-08,4657.028,
1992-09,16532.691,
1992-10,-3574.647,
1992-11,2594.017,
1992-12,1628.120,
1993-01,-1648.103,
1993-02,6503.837,
1993-03,2026.645,
1993-04,-1385.888,
1993-05,1788.060,
1993-06,4287.904,
1993-07,1683.536,
1993-08,4454.543,
1993-09,-427.412,
1993-10,4842.367,
1993-11,3195.339,
1993-12,4690.609,
1994-01,7990.734,
1994-02,1507.980,
1994-03,5437.296,
1994-04,2986.211,
1994-05,5690.720,
1994-06,270.581,
1994-07,3947.035,
1994-08,5878.995,
1994-09,2219.978,
1994-10,4732.129,
1994-11,1935.106,
1994-12,14433.571,
1995-01,3063.854,
1995-02,14813.517,
1995-03,4582.982,
1995-04,6910.024,
1995-05,6709.839,
1995-06,6687.748,
1995-07,-1726.628,
1995-08,9907.218,
1995-09,5935.890,
1995-10,3932.611,
1995-11,-708.065,
1995-12,1395.766,
1996-01,1456.957,
1996-02,3445.498,
1996-03,5632.648,
1996-04,8044.442,
1996-05,1280.467,
1996-06,-601.782,
1996-07,-6328.074,
1996-08,-2273.794,
1996-09,236.203,
1996-10,-1350.792,
1996-11,14171.067,
1996-12,4606.198,
1997-01,14110.245,
1997-02,14918.997,
1997-03,17780.029,
1997-04,9151.691,
1997-05,5474.951,
1997-06,13386.473,
1997-07,-1249.414,
1997-08,5098.343,
1997-09,-4655.920,
1997-10,27595.119,
1997-11,8636.449,
1997-12,-5771.967,
1998-01,13510.898,
1998-02,8213.255,
1998-03,22487.306,
1998-04,9979.197,
1998-05,24045.996,
1998-06,5123.129,
1998-07,-12569.520,
1998-08,10982.813,
1998-09,5971.117,
1998-10,29883.642,
1998-11,37171.284,
1998-12,-11998.227,
1999-01,62821.432,
1999-02,-26370.671,
1999-03,11786.115,
1999-04,12097.299,
1999-05,2720.822,
1999-06,-416.163,
1999-07,-2149.927,
1999-08,10063.367,
1999-09,8918.617,
1999-10,9521.619,
1999-11,27590.791,
1999-12,-21189.030,
2000-01,29936.451,
2000-02,17717.586,
2000-03,30590.090,
2000-04,23738.091,
2000-05,27032.410,
2000-06,-43886.519,
2000-07,-17740.318,
2000-08,13931.990,
2000-09,7179.856,
2000-10,1174.313,
2000-11,21242.517,
2000-12,4435.305,
2001-01,37513.336,
2001-02,27716.685,
2001-03,65941.796,
2001-04,20719.408,
2001-05,1965.365,
2001-06,-47445.865,
2001-07,-24779.694,
2001-08,21282.940,
2001-09,-4151.322,
2001-10,4135.155,
2001-11,-9878.526,
2001-12,-38689.299,
2002-01,20196.662,
2002-02,-21825.145,
2002-03,15536.706,
2002-04,34803.361,
2002-05,12488.128,
2002-06,-41759.069,
2002-07,6342.589,
2002-08,3478.148,
2002-09,18619.915,
2002-10,5578.622,
2002-11,21420.037,
2002-12,-46427.144,
2003-01,17788.404,
2003-02,6214.141,
2003-03,17346.441,
2003-04,13594.094,
2003-05,1155.916,
2003-06,-15210.954,
2003-07,-3625.808,
2003-08,-29636.972,
2003-09,23834.852,
2003-10,-10525.450,
2003-11,-4428.912,
2003-12,-5797.492,
2004-01,19262.281,
2004-02,9489.028,
2004-03,29127.428,
2004-04,-53.807,
2004-05,-23431.806,
2004-06,-29309.571,
2004-07,-7254.543,
2004-08,6306.160,
2004-09,29022.488,
2004-10,-4284.058,
2004-11,33656.653,
2004-12,-30191.486,
2005-01,47921.565,
2005-02,14291.571,
2005-03,2154.986,
2005-04,72224.550,
2005-05,-16975.836,
2005-06,-73046.525,
2005-07,-993.273,
2005-08,-5494.885,
2005-09,9690.189,
2005-10,20511.336,
2005-11,10489.028,
2005-12,-58316.238,
2006-01,42708.971,
2006-02,6352.869,
2006-03,9792.780,
2006-04,22743.245,
2006-05,7848.683,
2006-06,-29621.665,
2006-07,-27564.961,
2006-08,14390.216,
2006-09,25320.387,
2006-10,-3817.813,
2006-11,17427.904,
2006-12,-27782.022,
2007-01,17709.154,
2007-02,17662.960,
2007-03,3134.983,
2007-04,44732.777,
2007-05,20284.500,
2007-06,-38927.103,
2007-07,-9992.015,
2007-08,23164.498,
2007-09,40860.619,
2007-10,6969.920,
2007-11,-560.040,
2007-12,-51235.460,
2008-01,63090.413,
2008-02,21408.781,
2008-03,13479.187,
2008-04,43585.638,
2008-05,-14103.909,
2008-06,-59489.419,
2008-07,-8656.178,
2008-08,-4256.835,
2008-09,42312.996,
2008-10,-71945.276,
2008-11,-36491.004,
2008-12,-46202.895,
2009-01,32163.706,
2009-02,-32653.452,
2009-03,-20444.118,
2009-04,35945.548,
2009-05,-46658.243,
2009-06,-833.511,
2009-07,-7321.834,
2009-08,-20554.664,
2009-09,-17887.028,
2009-10,1823.269,
2009-11,-6574.030,
2009-12,-32030.604,
2010-01,44813.224,
2010-02,-6806.407,
2010-03,13796.716,
2010-04,75902.466,
2010-05,52678.230,
2010-06,-55668.979,
2010-07,19267.209,
2010-08,24265.397,
2010-09,-42738.161,
2010-10,6378.925,
2010-11,1663.651,
2010-12,-57250.185,
2011-01,20910.567,
2011-02,-1532.990,
2011-03,-58667.037,
2011-04,51067.049,
2011-05,-22233.892,
2011-06,-59383.071,
2011-07,-949.877,
2011-08,47488.419,
2011-09,37734.036,
2011-10,13419.799,
2011-11,1853.175,
2011-12,-126413.807,
2012-01,168669.017,
2012-02,18223.838,
2012-03,63237.604,
2012-04,24441.418,
2012-05,-28674.239,
2012-06,-48345.599,
2012-07,8379.635,
2012-08,21846.922,
2012-09,-45316.304,
2012-10,-7218.701,
2012-11,-31375.772,
2012-12,-92359.343,
2013-01,22247.703,
2013-02,-8572.866,
2013-03,-22514.788,
2013-04,24426.755,
2013-05,-26646.717,
2013-06,-11985.991,
2013-07,-9315.567,
2013-08,-24721.457,
2013-09,-30988.146,
2013-10,-4419.080,
2013-11,6727.456,
2013-12,-72690.317,
2014-01,54887.452,
2014-02,-18160.656,Provisional value
2014-03,-4198.652,Provisional value
2014-04,17474.890,Provisional value
2014-05,-1442.360,Provisional value
2014-06,-12685.890,Provisional value
2014-07,39682.300,Provisional value
2014-08,-9374.124,Provisional value
2014-09,-1176.703,
2014-10,-1352.545,
2014-11,29295.236,
2014-12,-61561.671,Provisional value
