"",BBFN1.M.DE.N.1.A.PL.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PL.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Poland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:50,
1994-07,0.862,
1994-08,0.921,
1994-09,0.966,
1994-10,1.012,
1994-11,1.063,
1994-12,1.001,
1995-01,0.991,
1995-02,1.057,
1995-03,1.104,
1995-04,1.092,
1995-05,1.108,
1995-06,1.106,
1995-07,1.107,
1995-08,1.083,
1995-09,1.129,
1995-10,1.153,
1995-11,1.195,
1995-12,1.158,
1996-01,1.170,
1996-02,1.205,
1996-03,1.258,
1996-04,1.319,
1996-05,1.372,
1996-06,1.445,
1996-07,1.411,
1996-08,1.388,
1996-09,1.487,
1996-10,1.531,
1996-11,1.596,
1996-12,1.563,
1997-01,1.489,
1997-02,1.562,
1997-03,1.684,
1997-04,1.725,
1997-05,1.766,
1997-06,1.776,
1997-07,1.780,
1997-08,1.795,
1997-09,1.832,
1997-10,1.909,
1997-11,1.954,
1997-12,1.905,
1998-01,1.895,
1998-02,2.040,
1998-03,1.988,
1998-04,2.065,
1998-05,2.081,
1998-06,2.143,
1998-07,2.165,
1998-08,2.172,
1998-09,2.173,
1998-10,2.115,
1998-11,2.180,
1998-12,2.020,
1999-01,2.007,
1999-02,2.063,
1999-03,2.105,
1999-04,2.116,
1999-05,2.230,
1999-06,2.271,
1999-07,2.260,
1999-08,2.293,
1999-09,2.376,
1999-10,2.513,
1999-11,2.576,
1999-12,2.455,
2000-01,2.473,
2000-02,2.562,
2000-03,2.566,
2000-04,2.631,
2000-05,2.749,
2000-06,2.813,
2000-07,2.842,
2000-08,2.828,
2000-09,2.925,
2000-10,2.998,
2000-11,3.019,
2000-12,2.982,
2001-01,2.875,
2001-02,2.873,
2001-03,2.777,
2001-04,2.818,
2001-05,2.740,
2001-06,2.875,
2001-07,2.845,
2001-08,2.818,
2001-09,2.987,
2001-10,2.984,
2001-11,2.963,
2001-12,2.650,
2002-01,2.511,
2002-02,2.606,
2002-03,2.538,
2002-04,2.602,
2002-05,2.643,
2002-06,2.718,
2002-07,2.713,
2002-08,2.626,
2002-09,2.667,
2002-10,2.682,
2002-11,2.702,
2002-12,2.569,
2003-01,2.578,
2003-02,2.588,
2003-03,2.709,
2003-04,2.725,
2003-05,2.751,
2003-06,2.776,
2003-07,2.664,
2003-08,2.664,
2003-09,2.727,
2003-10,2.753,
2003-11,2.752,
2003-12,2.489,
2004-01,2.441,
2004-02,2.504,
2004-03,2.691,
2004-04,2.742,
2004-05,2.731,
2004-06,2.687,
2004-07,2.575,
2004-08,2.542,
2004-09,2.573,
2004-10,2.615,
2004-11,2.662,
2004-12,2.340,
2005-01,2.356,
2005-02,2.430,
2005-03,2.635,
2005-04,2.686,
2005-05,2.746,
2005-06,2.786,
2005-07,2.730,
2005-08,2.739,
2005-09,2.839,
2005-10,2.944,
2005-11,2.993,
2005-12,2.777,
2006-01,2.705,
2006-02,2.868,
2006-03,3.103,
2006-04,3.064,
2006-05,3.150,
2006-06,3.256,
2006-07,3.246,
2006-08,3.110,
2006-09,3.310,
2006-10,3.415,
2006-11,3.429,
2006-12,3.154,
2007-01,3.246,
2007-02,3.425,
2007-03,3.635,
2007-04,3.727,
2007-05,3.804,
2007-06,3.804,
2007-07,3.728,
2007-08,3.706,
2007-09,3.903,
2007-10,3.926,
2007-11,3.994,
2007-12,3.657,
2008-01,3.678,
2008-02,3.998,
2008-03,4.135,
2008-04,4.312,
2008-05,4.243,
2008-06,4.248,
2008-07,4.137,
2008-08,4.023,
2008-09,4.170,
2008-10,4.280,
2008-11,4.194,
2008-12,3.610,
2009-01,3.452,
2009-02,3.408,
2009-03,3.513,
2009-04,3.416,
2009-05,3.462,
2009-06,3.527,
2009-07,3.277,
2009-08,3.253,
2009-09,3.438,
2009-10,3.453,
2009-11,3.444,
2009-12,3.109,
2010-01,3.103,
2010-02,3.299,
2010-03,3.649,
2010-04,3.561,
2010-05,3.810,
2010-06,3.785,
2010-07,3.613,
2010-08,3.502,
2010-09,3.862,
2010-10,3.979,
2010-11,4.042,
2010-12,3.878,
2011-01,3.736,
2011-02,3.971,
2011-03,4.213,
2011-04,4.244,
2011-05,4.275,
2011-06,4.344,
2011-07,4.294,
2011-08,4.082,
2011-09,4.327,
2011-10,4.406,
2011-11,4.388,
2011-12,4.081,
2012-01,3.993,
2012-02,4.095,
2012-03,4.159,
2012-04,4.153,
2012-05,4.146,
2012-06,4.253,
2012-07,4.091,
2012-08,3.856,
2012-09,4.089,
2012-10,4.167,
2012-11,4.259,
2012-12,3.609,
2013-01,3.598,
2013-02,3.839,
2013-03,3.975,
2013-04,3.942,
2013-05,3.893,
2013-06,4.032,
2013-07,3.759,
2013-08,3.796,
2013-09,3.972,
2013-10,4.006,
2013-11,4.175,
2013-12,3.591,
2014-01,3.573,
2014-02,3.896,
2014-03,4.088,
2014-04,4.106,
2014-05,4.006,
2014-06,4.081,
2014-07,4.002,
2014-08,3.913,
2014-09,4.197,
2014-10,4.362,
2014-11,4.583,
2014-12,3.870,
