"",BBK01.CEFK0C,BBK01.CEFK0C_FLAGS
"",Other equity                                            debtor: Total           creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:36,
1999-01,77.0,
1999-04,77.9,
1999-07,78.0,
1999-10,73.0,
2000-01,73.6,
2000-04,78.5,
2000-07,78.0,
2000-10,79.7,
2001-01,78.5,
2001-04,80.1,
2001-07,73.0,
2001-10,86.7,
2002-01,85.3,
2002-04,85.3,
2002-07,79.1,
2002-10,68.4,
2003-01,68.3,
2003-04,70.2,
2003-07,70.1,
2003-10,68.6,
2004-01,69.8,
2004-04,72.5,
2004-07,68.2,
2004-10,67.0,
2005-01,73.7,
2005-04,77.4,
2005-07,77.6,
2005-10,79.6,
2006-01,81.3,
2006-04,79.8,
2006-07,80.4,
2006-10,83.0,
2007-01,84.2,
2007-04,84.9,
2007-07,89.0,
2007-10,126.0,
2008-01,130.1,
2008-04,134.8,
2008-07,140.4,
2008-10,152.1,
2009-01,161.2,
2009-04,175.7,
2009-07,179.1,
2009-10,184.6,
2010-01,200.5,
2010-04,216.9,
2010-07,231.3,
2010-10,245.0,
2011-01,251.4,
2011-04,241.9,
2011-07,245.4,
2011-10,246.0,
2012-01,248.7,
2012-04,251.0,
2012-07,253.4,
2012-10,265.2,
2013-01,266.9,
2013-04,272.1,
2013-07,275.7,
2013-10,281.0,
2014-01,281.2,
2014-04,287.1,
2014-07,287.0,
