"",BBEX3.M.IRR.USD.CA.AC.A01,BBEX3.M.IRR.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Iran * / USD 1 = IRR ... (middle),
unit,IRR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:06,
2000-03,8151,
2000-04,8177,
2000-05,8208,
2000-06,8187,
2000-07,8158,
2000-08,8160,
2000-09,8165,
2000-10,8120,
2000-11,7909,
2000-12,7916,
2001-01,7917,
2001-02,7917,
2001-03,7918,
2001-04,7918,
2001-05,7918,
2001-06,7917,
2001-07,7920,
2001-08,7921,
2001-09,7923,
2001-10,7924,
2001-11,7924,
2001-12,7924,
2002-01,7924,
2002-02,7924,
2002-03,7924,
2002-04,7924,
2002-05,7925,
2002-06,7925,
2002-07,7927,
2002-08,7933,
2002-09,7954,
2002-10,7978,
2002-11,7988,
2002-12,7975,
2003-01,7971,
2003-02,8012,
2003-03,8144,
2003-04,8148,
2003-05,8151,
2003-06,8192,
2003-07,8250,
2003-08,8338,
2003-09,8333,
2003-10,8348,
2003-11,8360,
2003-12,8301,
2004-01,8364,
2004-02,8400,
2004-03,8510,
2004-04,8566,
2004-05,8575,
2004-06,8652,
2004-07,8705,
2004-08,8738,
2004-09,8757,
2004-10,8770,
2004-11,8789,
2004-12,8793,
2005-01,8851,
2005-02,8854,
2005-03,8875,
2005-04,8905,
2005-05,8962,
2005-06,8985,
2005-07,8996,
2005-08,9009,
2005-09,9035,
2005-10,9061,
2005-11,9079,
2005-12,9091,
2006-01,9112,
2006-02,9131,
2006-03,9145,
2006-04,9147,
2006-05,9159,
2006-06,9178,
2006-07,9184,
2006-08,9185,
2006-09,9210,
2006-10,9216,
2006-11,9216,
2006-12,9221,
2007-01,9229,
2007-02,9239,
2007-03,9243,
2007-04,9250,
2007-05,9263,
2007-06,9277,
2007-07,9292,
2007-08,9310,
2007-09,9322,
2007-10,9326,
2007-11,9302,
2007-12,9282,
2008-01,9231,
2008-02,9207,
2008-03,8954,
2008-04,9198,
2008-05,9226,
2008-06,9148,
2008-07,9279,
2008-08,9589,
2008-09,9703,
2008-10,10009,
2008-11,10104,
2008-12,9825,
2009-01,9698,
2009-02,9823,
2009-03,9924,
2009-04,9836,
2009-05,9598,
2009-06,9929,
2009-07,9963,
2009-08,9925,
2009-09,9899,
2009-10,9950,
2009-11,9914,
2009-12,9984,
2010-01,10006,
2010-02,9988,
2010-03,10012,
2010-04,10121,
2010-05,10389,
2010-06,10483,
2010-07,10381,
2010-08,10464,
2010-09,10198,
2010-10,10370,
2010-11,10399,
2010-12,10353,
2011-01,10352,
2011-02,10304,
2011-03,10400,
2011-04,10454,
2011-05,10579,
2011-06,10671,
2011-07,10542,
2011-08,10580,
2011-09,10740,
2011-10,10770,
2011-11,10855,
2011-12,11164,
2012-01,12260,
2012-02,12260,
2012-03,12260,
2012-04,12260,
2012-05,12260,
2012-06,12260,
2012-07,12260,
2012-08,12260,
2012-09,12260,
2012-10,12260,
2012-11,12260,
2012-12,12260,
2013-01,12260,
2013-02,12260,comment
2013-03,12260,comment
2013-04,12260,comment
2013-05,12260,comment
2013-06,12260,comment
2013-07,24790,comment
2013-08,24812,comment
2013-09,24812,comment
2013-10,24955,comment
2013-11,24829,comment
2013-12,24774,comment
2014-01,24866,comment
2014-02,24898,comment
2014-03,25444,comment
2014-04,25518,comment
2014-05,25582,comment
2014-06,25651,comment
2014-07,26303,comment
2014-08,26612,comment
2014-09,26668,comment
2014-10,26706,comment
2014-11,26847,comment
2014-12,27138,comment
2015-01,27504,comment
"","General: * March 2002 - June 2013: reference rates; until February 2002: so-called non-oil export rate.   Iran used a multiple exchange rate system. On 21 March 2000, the export rate was replaced by the non-oil export rate. This was the floating rate at which exporters had been able to sell their currency earnings on the Tehran Stock Exchange for some time.   Exchange rate used until 20 March 2002:  Official exchange rate (USD 1 = IRR 1,750 / 1,755): for earnings from crude oil exports which are used to pay for the import of essential goods and services, for priority projects and for servicing government debt.  ""Non-oil export rate"": for other foreign exchange transactions.   On 21 March 2002, the multiple exchange rate system was standardised on the basis of the non-oil export rate. Since then, the Iranian central bank has published (daily) reference rates.   From the end of 2011, the spread between the reference rate and the parallel market rate, which has been used by the foreign exchange bureaux for some time, has widened considerably; see commentaries on value (available as of February 2013) and commentaries on value for the euro (BBEX3:M:IRR:EUR:CA:AC:A01).   Since 3 July 2013, rather than issuing reference rates, the Central Bank of Iran has been publishing exchange rates that deviate sharply from the reference rates. The non-reference rates, which were published for a short time from 1 October 2012 onwards, are now made available as official rates as a result of the reference rates becoming less and less important in the wake of the autumn 2012 reforms.   The term ""toman"" (an old Persian currency) is also used to denote 10 Iranian rials.",
"","Source: Bank Markazi Jomhouri Islami Iran, Tehran.",
"","Comment on 2013-02: The bureau de change rate reported by the German embassy in Tehran for 28 February 2013 was USD 1 = IRR 36,500.",
"","Comment on 2013-03: The bureau de change rate reported by the German embassy in Tehran for 28 March 2013 was USD 1 = IRR 34,500.",
"","Comment on 2013-04: The bureau de change rate reported by the German embassy in Tehran for 30 April 2013 was USD 1 = IRR 36,200.",
"","Comment on 2013-05: The bureau de change rate reported by the German embassy in Tehran for 30 May 2013 was USD 1 = IRR 36,500.",
