"",BBFN1.M.DE.N.1.A.G9.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.G9.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Other European countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:17,
1995-01,5.712,
1995-02,5.492,
1995-03,5.325,
1995-04,5.448,
1995-05,5.506,
1995-06,5.052,
1995-07,5.467,
1995-08,5.490,
1995-09,5.372,
1995-10,5.278,
1995-11,5.203,
1995-12,5.344,
1996-01,5.789,
1996-02,5.627,
1996-03,6.544,
1996-04,6.069,
1996-05,5.835,
1996-06,6.062,
1996-07,5.628,
1996-08,5.297,
1996-09,5.466,
1996-10,5.679,
1996-11,5.578,
1996-12,5.472,
1997-01,6.117,
1997-02,6.372,
1997-03,6.951,
1997-04,6.698,
1997-05,6.623,
1997-06,7.026,
1997-07,7.227,
1997-08,7.562,
1997-09,7.386,
1997-10,7.750,
1997-11,7.780,
1997-12,7.412,
1998-01,7.467,
1998-02,7.638,
1998-03,7.805,
1998-04,8.501,
1998-05,9.052,
1998-06,8.639,
1998-07,9.112,
1998-08,9.668,
1998-09,9.465,
1998-10,9.936,
1998-11,10.210,
1998-12,11.007,
1999-01,10.541,
1999-02,10.833,
1999-03,11.452,
1999-04,11.486,
1999-05,11.630,
1999-06,11.534,
1999-07,13.269,
1999-08,13.598,
1999-09,13.914,
1999-10,12.785,
1999-11,12.642,
1999-12,12.782,
2000-01,13.286,
2000-02,13.242,
2000-03,13.425,
2000-04,12.691,
2000-05,12.643,
2000-06,13.362,
2000-07,12.958,
2000-08,13.564,
2000-09,13.886,
2000-10,14.083,
2000-11,14.088,
2000-12,12.790,
2001-01,13.300,
2001-02,13.451,
2001-03,13.726,
2001-04,14.113,
2001-05,14.375,
2001-06,14.466,
2001-07,14.295,
2001-08,14.008,
2001-09,14.617,
2001-10,14.939,
2001-11,15.397,
2001-12,15.572,
2002-01,14.582,
2002-02,14.303,
2002-03,13.858,
2002-04,14.488,
2002-05,14.790,
2002-06,14.957,
2002-07,15.061,
2002-08,15.094,
2002-09,15.071,
2002-10,15.327,
2002-11,14.960,
2002-12,14.741,
2003-01,16.005,
2003-02,15.949,
2003-03,17.431,
2003-04,17.093,
2003-05,17.255,
2003-06,17.387,
2003-07,17.116,
2003-08,16.356,
2003-09,16.202,
2003-10,16.343,
2003-11,17.337,
2003-12,16.618,
2004-01,17.012,
2004-02,18.784,
2004-03,19.301,
2004-04,19.348,
2004-05,14.603,
2004-06,15.198,
2004-07,15.716,
2004-08,14.081,
2004-09,14.330,
2004-10,14.163,
2004-11,14.462,
2004-12,13.002,
2005-01,13.041,
2005-02,12.456,
2005-03,13.093,
2005-04,13.260,
2005-05,13.289,
2005-06,13.103,
2005-07,12.894,
2005-08,13.123,
2005-09,14.359,
2005-10,15.521,
2005-11,16.942,
2005-12,16.155,
2006-01,15.490,
2006-02,15.713,
2006-03,14.691,
2006-04,15.948,
2006-05,15.602,
2006-06,14.968,
2006-07,16.344,
2006-08,15.947,
2006-09,17.081,
2006-10,18.010,
2006-11,17.968,
2006-12,17.763,
2007-01,16.984,
2007-02,17.547,
2007-03,18.864,
2007-04,17.192,
2007-05,18.236,
2007-06,17.442,
2007-07,18.085,
2007-08,17.503,
2007-09,18.268,
2007-10,18.543,
2007-11,18.425,
2007-12,19.178,
2008-01,19.585,
2008-02,19.419,
2008-03,19.497,
2008-04,20.616,
2008-05,21.634,
2008-06,21.458,
2008-07,22.456,
2008-08,21.391,
2008-09,24.362,
2008-10,24.811,
2008-11,24.776,
2008-12,24.450,
2009-01,23.647,
2009-02,24.332,
2009-03,24.311,
2009-04,26.095,
2009-05,26.766,
2009-06,27.512,
2009-07,26.922,
2009-08,26.966,
2009-09,27.878,
2009-10,28.195,
2009-11,28.491,
2009-12,28.247,
2010-01,28.523,
2010-02,29.242,
2010-03,30.040,
2010-04,31.035,
2010-05,30.950,
2010-06,32.415,
2010-07,32.349,
2010-08,31.742,
2010-09,32.313,
2010-10,33.304,
2010-11,33.724,
2010-12,33.610,
2011-01,34.618,
2011-02,33.547,
2011-03,35.135,
2011-04,34.756,
2011-05,35.727,
2011-06,35.093,
2011-07,36.053,
2011-08,40.416,
2011-09,42.144,
2011-10,43.370,
2011-11,43.066,
2011-12,39.071,
2012-01,39.271,
2012-02,40.966,
2012-03,43.220,
2012-04,43.946,
2012-05,46.161,
2012-06,47.932,
2012-07,48.627,
2012-08,49.977,
2012-09,49.788,
2012-10,48.770,
2012-11,48.902,
2012-12,8.398,
2013-01,8.119,
2013-02,8.022,
2013-03,8.237,
2013-04,8.131,
2013-05,8.185,
2013-06,8.244,
2013-07,7.605,
2013-08,7.087,
2013-09,7.026,
2013-10,7.593,
2013-11,7.506,
2013-12,7.376,
2014-01,7.373,
2014-02,7.349,
2014-03,7.367,
2014-04,7.333,
2014-05,7.471,
2014-06,7.518,
2014-07,7.777,
2014-08,7.387,
2014-09,7.349,
2014-10,7.538,
2014-11,7.044,
2014-12,6.769,
"","General: Up to April 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Bulgaria and Romania.",
