"",BBFN1.M.DE.N.1.L.S1.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.S1.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Countries in Asia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:38,
1995-01,16.669,
1995-02,16.343,
1995-03,16.743,
1995-04,16.695,
1995-05,16.591,
1995-06,17.007,
1995-07,17.309,
1995-08,17.664,
1995-09,17.779,
1995-10,17.531,
1995-11,17.434,
1995-12,17.344,
1996-01,17.457,
1996-02,17.588,
1996-03,17.762,
1996-04,18.322,
1996-05,18.163,
1996-06,17.852,
1996-07,17.799,
1996-08,17.886,
1996-09,17.589,
1996-10,18.121,
1996-11,17.821,
1996-12,18.055,
1997-01,18.318,
1997-02,18.303,
1997-03,18.716,
1997-04,18.894,
1997-05,19.151,
1997-06,19.571,
1997-07,19.938,
1997-08,19.786,
1997-09,20.256,
1997-10,20.593,
1997-11,20.434,
1997-12,20.309,
1998-01,20.501,
1998-02,20.814,
1998-03,20.592,
1998-04,21.024,
1998-05,20.648,
1998-06,20.020,
1998-07,19.770,
1998-08,19.596,
1998-09,19.388,
1998-10,19.372,
1998-11,19.586,
1998-12,18.966,
1999-01,18.889,
1999-02,19.173,
1999-03,19.335,
1999-04,18.837,
1999-05,18.769,
1999-06,19.095,
1999-07,18.807,
1999-08,19.193,
1999-09,19.001,
1999-10,19.552,
1999-11,18.884,
1999-12,18.810,
2000-01,18.959,
2000-02,18.971,
2000-03,19.543,
2000-04,19.527,
2000-05,19.532,
2000-06,19.694,
2000-07,19.639,
2000-08,19.665,
2000-09,20.032,
2000-10,20.494,
2000-11,20.811,
2000-12,21.375,
2001-01,20.326,
2001-02,20.498,
2001-03,21.042,
2001-04,21.124,
2001-05,20.654,
2001-06,21.207,
2001-07,19.937,
2001-08,20.556,
2001-09,21.233,
2001-10,21.185,
2001-11,21.715,
2001-12,21.732,
2002-01,21.092,
2002-02,20.987,
2002-03,20.711,
2002-04,19.586,
2002-05,20.508,
2002-06,21.062,
2002-07,21.087,
2002-08,20.971,
2002-09,21.615,
2002-10,22.006,
2002-11,21.968,
2002-12,21.877,
2003-01,25.582,
2003-02,24.421,
2003-03,24.837,
2003-04,25.175,
2003-05,25.285,
2003-06,25.438,
2003-07,25.575,
2003-08,25.602,
2003-09,25.750,
2003-10,24.674,
2003-11,25.108,
2003-12,23.780,
2004-01,23.387,
2004-02,23.342,
2004-03,24.437,
2004-04,24.425,
2004-05,24.517,
2004-06,24.916,
2004-07,24.784,
2004-08,25.363,
2004-09,24.773,
2004-10,25.186,
2004-11,26.310,
2004-12,26.419,
2005-01,25.253,
2005-02,25.084,
2005-03,26.331,
2005-04,26.165,
2005-05,25.478,
2005-06,25.879,
2005-07,25.653,
2005-08,25.602,
2005-09,26.434,
2005-10,27.118,
2005-11,27.449,
2005-12,27.956,
2006-01,27.586,
2006-02,28.061,
2006-03,28.868,
2006-04,28.217,
2006-05,29.276,
2006-06,30.039,
2006-07,30.335,
2006-08,31.170,
2006-09,32.024,
2006-10,32.822,
2006-11,32.384,
2006-12,33.005,
2007-01,32.975,
2007-02,33.143,
2007-03,35.033,
2007-04,34.918,
2007-05,34.687,
2007-06,36.193,
2007-07,36.411,
2007-08,37.642,
2007-09,37.823,
2007-10,38.407,
2007-11,38.962,
2007-12,38.567,
2008-01,37.755,
2008-02,38.517,
2008-03,39.528,
2008-04,38.897,
2008-05,38.760,
2008-06,39.501,
2008-07,39.970,
2008-08,40.193,
2008-09,40.948,
2008-10,41.625,
2008-11,41.546,
2008-12,39.740,
2009-01,39.723,
2009-02,39.285,
2009-03,38.466,
2009-04,38.207,
2009-05,38.743,
2009-06,38.467,
2009-07,39.269,
2009-08,39.161,
2009-09,38.518,
2009-10,38.830,
2009-11,39.481,
2009-12,44.901,
2010-01,44.907,
2010-02,45.007,
2010-03,45.270,
2010-04,46.248,
2010-05,47.707,
2010-06,48.735,
2010-07,48.258,
2010-08,48.869,
2010-09,49.193,
2010-10,50.081,
2010-11,50.424,
2010-12,51.128,
2011-01,50.438,
2011-02,50.365,
2011-03,51.248,
2011-04,50.681,
2011-05,51.210,
2011-06,51.137,
2011-07,51.371,
2011-08,51.742,
2011-09,52.936,
2011-10,52.424,
2011-11,52.917,
2011-12,53.789,
2012-01,53.140,
2012-02,53.094,
2012-03,52.943,
2012-04,53.087,
2012-05,52.897,
2012-06,52.927,
2012-07,53.258,
2012-08,53.356,
2012-09,55.031,
2012-10,53.992,
2012-11,55.660,
2012-12,55.513,
2013-01,54.650,
2013-02,54.756,
2013-03,55.747,
2013-04,55.413,
2013-05,55.432,
2013-06,54.775,
2013-07,52.160,
2013-08,52.811,
2013-09,55.548,
2013-10,55.536,
2013-11,55.242,
2013-12,54.731,
2014-01,53.331,
2014-02,54.758,
2014-03,52.944,
2014-04,52.893,
2014-05,54.044,
2014-06,55.005,
2014-07,54.196,
2014-08,54.720,
2014-09,55.721,
2014-10,56.073,
2014-11,55.524,
2014-12,57.128,
