"",BBFN1.M.DE.N.1.L.LY.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.LY.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Libya,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:11,
1994-07,0.117,
1994-08,0.097,
1994-09,0.111,
1994-10,0.108,
1994-11,0.097,
1994-12,0.095,
1995-01,0.090,
1995-02,0.104,
1995-03,0.097,
1995-04,0.098,
1995-05,0.106,
1995-06,0.114,
1995-07,0.112,
1995-08,0.123,
1995-09,0.118,
1995-10,0.111,
1995-11,0.110,
1995-12,0.111,
1996-01,0.109,
1996-02,0.109,
1996-03,0.149,
1996-04,0.140,
1996-05,0.145,
1996-06,0.166,
1996-07,0.176,
1996-08,0.170,
1996-09,0.183,
1996-10,0.166,
1996-11,0.109,
1996-12,0.149,
1997-01,0.114,
1997-02,0.158,
1997-03,0.144,
1997-04,0.139,
1997-05,0.122,
1997-06,0.101,
1997-07,0.095,
1997-08,0.116,
1997-09,0.107,
1997-10,0.116,
1997-11,0.138,
1997-12,0.131,
1998-01,0.149,
1998-02,0.149,
1998-03,0.164,
1998-04,0.149,
1998-05,0.140,
1998-06,0.104,
1998-07,0.136,
1998-08,0.123,
1998-09,0.135,
1998-10,0.140,
1998-11,0.165,
1998-12,0.140,
1999-01,0.140,
1999-02,0.154,
1999-03,0.156,
1999-04,0.168,
1999-05,0.192,
1999-06,0.118,
1999-07,0.188,
1999-08,0.170,
1999-09,0.160,
1999-10,0.163,
1999-11,0.169,
1999-12,0.168,
2000-01,0.193,
2000-02,0.169,
2000-03,0.178,
2000-04,0.204,
2000-05,0.230,
2000-06,0.206,
2000-07,0.231,
2000-08,0.227,
2000-09,0.227,
2000-10,0.223,
2000-11,0.243,
2000-12,0.154,
2001-01,0.142,
2001-02,0.141,
2001-03,0.132,
2001-04,0.128,
2001-05,0.166,
2001-06,0.253,
2001-07,0.272,
2001-08,0.273,
2001-09,0.266,
2001-10,0.277,
2001-11,0.291,
2001-12,0.176,
2002-01,0.167,
2002-02,0.163,
2002-03,0.159,
2002-04,0.178,
2002-05,0.179,
2002-06,0.176,
2002-07,0.195,
2002-08,0.166,
2002-09,0.175,
2002-10,0.167,
2002-11,0.153,
2002-12,0.131,
2003-01,0.163,
2003-02,0.140,
2003-03,0.140,
2003-04,0.138,
2003-05,0.145,
2003-06,0.157,
2003-07,0.171,
2003-08,0.173,
2003-09,0.176,
2003-10,0.192,
2003-11,0.208,
2003-12,0.218,
2004-01,0.223,
2004-02,0.240,
2004-03,0.264,
2004-04,0.278,
2004-05,0.348,
2004-06,0.353,
2004-07,0.346,
2004-08,0.385,
2004-09,0.399,
2004-10,0.464,
2004-11,0.428,
2004-12,0.458,
2005-01,0.473,
2005-02,0.538,
2005-03,0.529,
2005-04,0.565,
2005-05,0.596,
2005-06,0.575,
2005-07,0.573,
2005-08,0.611,
2005-09,0.595,
2005-10,0.658,
2005-11,0.517,
2005-12,0.317,
2006-01,0.282,
2006-02,0.262,
2006-03,0.235,
2006-04,0.310,
2006-05,0.320,
2006-06,0.334,
2006-07,0.328,
2006-08,0.336,
2006-09,0.327,
2006-10,0.321,
2006-11,0.326,
2006-12,0.326,
2007-01,0.342,
2007-02,0.356,
2007-03,0.378,
2007-04,0.377,
2007-05,0.391,
2007-06,0.400,
2007-07,0.399,
2007-08,0.399,
2007-09,0.369,
2007-10,0.372,
2007-11,0.384,
2007-12,0.393,
2008-01,0.420,
2008-02,0.422,
2008-03,0.486,
2008-04,0.495,
2008-05,0.499,
2008-06,1.125,
2008-07,0.793,
2008-08,0.825,
2008-09,0.833,
2008-10,0.894,
2008-11,0.912,
2008-12,0.838,
2009-01,0.886,
2009-02,0.898,
2009-03,0.864,
2009-04,0.897,
2009-05,0.902,
2009-06,0.922,
2009-07,0.949,
2009-08,0.952,
2009-09,0.985,
2009-10,0.979,
2009-11,0.985,
2009-12,1.000,
2010-01,1.020,
2010-02,1.061,
2010-03,1.103,
2010-04,1.096,
2010-05,1.162,
2010-06,0.919,
2010-07,0.900,
2010-08,0.991,
2010-09,0.979,
2010-10,1.007,
2010-11,1.049,
2010-12,0.950,
2011-01,0.948,
2011-02,0.924,
2011-03,0.865,
2011-04,0.834,
2011-05,0.853,
2011-06,0.902,
2011-07,0.893,
2011-08,0.888,
2011-09,0.917,
2011-10,0.896,
2011-11,0.909,
2011-12,0.925,
2012-01,0.926,
2012-02,0.975,
2012-03,0.933,
2012-04,0.887,
2012-05,0.874,
2012-06,0.910,
2012-07,0.719,
2012-08,0.717,
2012-09,0.770,
2012-10,0.766,
2012-11,0.767,
2012-12,0.731,
2013-01,0.814,
2013-02,0.947,
2013-03,0.903,
2013-04,0.904,
2013-05,0.884,
2013-06,0.893,
2013-07,0.826,
2013-08,0.911,
2013-09,0.905,
2013-10,0.917,
2013-11,0.931,
2013-12,0.874,
2014-01,0.886,
2014-02,0.873,
2014-03,0.846,
2014-04,0.880,
2014-05,0.860,
2014-06,0.915,
2014-07,0.791,
2014-08,0.821,
2014-09,0.837,
2014-10,0.759,
2014-11,0.756,
2014-12,0.748,
