"",BBEX3.M.RSD.EUR.CA.AC.A01,BBEX3.M.RSD.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Serbia  / EUR 1 = RSD ... (middle),
unit,RSD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:26,
2006-10,79.92000,
2006-11,78.65005,
2006-12,79.00000,
2007-01,79.00000,
2007-02,79.99000,
2007-03,81.57420,
2007-04,80.72530,
2007-05,81.20610,
2007-06,79.02540,
2007-07,79.52790,
2007-08,79.89000,
2007-09,78.86060,
2007-10,77.24000,
2007-11,84.75400,
2007-12,79.23620,
2008-01,82.77150,
2008-02,83.46350,
2008-03,82.31460,
2008-04,80.12950,
2008-05,82.43020,
2008-06,78.97840,
2008-07,76.99390,
2008-08,76.44420,
2008-09,76.59720,
2008-10,84.99100,
2008-11,89.19530,
2008-12,88.60100,
2009-01,94.10120,
2009-02,93.80220,
2009-03,94.77780,
2009-04,95.23960,
2009-05,94.71550,
2009-06,93.44150,
2009-07,93.19320,
2009-08,93.07370,
2009-09,93.01140,
2009-10,93.43460,
2009-11,94.75800,
2009-12,95.88880,
2010-01,98.46200,
2010-02,99.63370,
2010-03,99.76040,
2010-04,99.26830,
2010-05,102.73030,
2010-06,104.37040,
2010-07,106.22560,
2010-08,105.10320,
2010-09,106.17480,
2010-10,107.42700,
2010-11,107.19450,
2010-12,105.49820,
2011-01,104.60510,
2011-02,103.22370,
2011-03,103.59510,
2011-04,99.62920,
2011-05,96.98020,
2011-06,102.46310,
2011-07,102.12510,
2011-08,101.58360,
2011-09,101.17320,
2011-10,100.48520,
2011-11,103.97410,
2011-12,104.64090,
2012-01,106.06200,
2012-02,110.18660,
2012-03,111.36430,
2012-04,111.89810,
2012-05,116.61210,
2012-06,115.82030,
2012-07,117.73060,
2012-08,118.45170,
2012-09,115.03200,
2012-10,113.28360,
2012-11,112.63780,
2012-12,113.71830,
2013-01,111.60130,
2013-02,111.52000,
2013-03,111.95750,
2013-04,110.54260,
2013-05,111.61010,
2013-06,114.17150,
2013-07,113.80150,
2013-08,114.42550,
2013-09,114.60440,
2013-10,114.00820,
2013-11,114.04420,
2013-12,114.64210,
2014-01,115.92360,
2014-02,115.93560,
2014-03,115.38450,
2014-04,115.67510,
2014-05,115.65200,
2014-06,115.78530,
2014-07,116.76760,
2014-08,117.82530,
2014-09,118.85090,
2014-10,119.08880,
2014-11,120.54680,
2014-12,120.95830,
2015-01,123.54990,
"","General: * Independent since 3 June 2006; formerly ""Serbia and Montenegro"". The euro has been the sole legal tender in Montenegro since 1 April 2002. On 25 October 2006, the ISO code was changed from CSD to RSD.",
"","Source: Calculated on the basis of the buying and selling rates of the National Bank of Serbia, Belgrade.",
