"",BBK01.OEBI05Q,BBK01.OEBI05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:42,
2002-01,0.290,
2002-04,0.281,
2002-07,0.278,
2002-10,0.264,
2003-01,0.270,
2003-04,0.278,
2003-07,0.283,
2003-10,0.278,
2004-01,0.277,
2004-04,0.297,
2004-07,0.328,
2004-10,0.330,
2005-01,0.401,
2005-04,0.400,
2005-07,0.393,
2005-10,0.458,
2006-01,0.357,
2006-04,0.349,
2006-07,0.351,
2006-10,0.353,
2007-01,0.341,
2007-04,0.351,
2007-07,0.352,
2007-10,0.352,
2008-01,0.337,
2008-04,0.348,
2008-07,0.328,
2008-10,0.437,
2009-01,0.720,
2009-04,0.925,
2009-07,1.033,
2009-10,1.082,
2010-01,1.142,
2010-04,1.164,
2010-07,1.161,
2010-10,1.159,
2011-01,1.135,
2011-04,1.122,
2011-07,1.138,
2011-10,1.157,
2012-01,1.195,
2012-04,1.126,
2012-07,1.129,
2012-10,1.102,
2013-01,1.103,
2013-04,1.070,
2013-07,1.044,
2013-10,0.868,
2014-01,0.769,
2014-04,0.782,
2014-07,0.673,
