"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.O.F89.T._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.O.F89.T._T._X.N_FLAGS
"","Liabilities (Net Incurrence of) / Financial account / Other accounts receivable/payable, excluding trade credits and advances / Rest of the World / Total economy / Other Investment",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:59,
1991-01,-193.382,
1991-04,68.175,
1991-07,-244.671,
1991-10,217.499,
1992-01,210.582,
1992-04,679.992,
1992-07,-53.282,
1992-10,-910.373,
1993-01,-35.560,
1993-04,234.528,
1993-07,-9.895,
1993-10,389.642,
1994-01,-706.087,
1994-04,1021.599,
1994-07,1090.115,
1994-10,-23.231,
1995-01,-1973.950,
1995-04,1386.579,
1995-07,906.481,
1995-10,-141.253,
1996-01,-2267.239,
1996-04,839.924,
1996-07,954.830,
1996-10,1830.530,
1997-01,-3615.652,
1997-04,-7.009,
1997-07,594.140,
1997-10,-192.869,
1998-01,-195.207,
1998-04,-192.451,
1998-07,964.540,
1998-10,2112.903,
1999-01,-3092.795,
1999-04,-96.360,
1999-07,1823.599,
1999-10,307.735,
2000-01,-2165.536,
2000-04,551.076,
2000-07,1511.522,
2000-10,1571.580,
2001-01,-2450.851,
2001-04,1581.087,
2001-07,378.250,
2001-10,1749.037,
2002-01,-3148.726,
2002-04,2207.525,
2002-07,-794.644,
2002-10,68.899,
2003-01,-3036.968,
2003-04,1838.068,
2003-07,2469.810,
2003-10,-2341.844,
2004-01,-1980.316,
2004-04,1402.894,
2004-07,529.071,
2004-10,-1252.792,
2005-01,-286.094,
2005-04,-10.133,
2005-07,1329.700,
2005-10,-700.051,
2006-01,-28.086,
2006-04,-62.891,
2006-07,1079.489,
2006-10,710.302,
2007-01,3512.185,
2007-04,-116.093,
2007-07,1522.236,
2007-10,-5111.768,
2008-01,4786.933,
2008-04,-107.606,
2008-07,753.781,
2008-10,-2683.930,
2009-01,2928.100,
2009-04,-308.665,
2009-07,443.546,
2009-10,-5131.314,
2010-01,5172.390,
2010-04,-218.175,
2010-07,1701.385,
2010-10,-7316.411,
2011-01,4123.133,
2011-04,21.644,
2011-07,419.111,
2011-10,-5443.686,
2012-01,5803.710,
2012-04,117.240,
2012-07,35.367,
2012-10,-5654.459,
2013-01,5480.587,
2013-04,-136.563,
2013-07,877.810,
2013-10,-6884.202,
2014-01,4732.954,
2014-04,-479.337,
2014-07,-56.441,
