"",BBK01.OEAF11O,BBK01.OEAF11O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:56,
2002-01,2.302,
2002-04,2.265,
2002-07,2.343,
2002-10,2.292,
2003-01,2.146,
2003-04,2.146,
2003-07,2.125,
2003-10,2.073,
2004-01,1.940,
2004-04,1.962,
2004-07,1.942,
2004-10,1.897,
2005-01,1.807,
2005-04,1.797,
2005-07,1.790,
2005-10,1.828,
2006-01,1.742,
2006-04,1.772,
2006-07,1.802,
2006-10,1.681,
2007-01,1.697,
2007-04,1.724,
2007-07,1.738,
2007-10,1.699,
2008-01,1.721,
2008-04,1.556,
2008-07,1.596,
2008-10,1.607,
2009-01,1.535,
2009-04,1.520,
2009-07,1.495,
2009-10,1.425,
2010-01,1.424,
2010-04,1.417,
2010-07,1.439,
2010-10,1.343,
2011-01,1.368,
2011-04,1.388,
2011-07,1.406,
2011-10,1.362,
2012-01,1.518,
2012-04,1.517,
2012-07,1.458,
2012-10,1.391,
2013-01,1.280,
2013-04,1.277,
2013-07,1.317,
2013-10,1.255,
2014-01,1.258,
2014-04,1.275,
2014-07,1.263,
