"",BBK01.OEYB16G,BBK01.OEYB16G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:27,
2002-01,12.594,
2002-04,12.577,
2002-07,12.531,
2002-10,12.518,
2003-01,12.344,
2003-04,12.257,
2003-07,11.886,
2003-10,11.653,
2004-01,11.487,
2004-04,11.309,
2004-07,11.208,
2004-10,11.003,
2005-01,10.911,
2005-04,10.756,
2005-07,12.660,
2005-10,12.485,
2006-01,11.910,
2006-04,11.799,
2006-07,11.463,
2006-10,11.342,
2007-01,11.266,
2007-04,11.224,
2007-07,11.149,
2007-10,11.098,
2008-01,11.006,
2008-04,11.099,
2008-07,11.194,
2008-10,11.084,
2009-01,11.076,
2009-04,11.044,
2009-07,10.986,
2009-10,10.777,
2010-01,10.882,
2010-04,10.917,
2010-07,10.919,
2010-10,10.971,
2011-01,11.029,
2011-04,11.024,
2011-07,10.933,
2011-10,10.885,
2012-01,10.797,
2012-04,10.748,
2012-07,10.716,
2012-10,10.562,
2013-01,10.418,
2013-04,10.393,
2013-07,10.120,
2013-10,10.293,
2014-01,10.267,
2014-04,10.210,
2014-07,10.283,
