"",BBK01.OEAA40V,BBK01.OEAA40V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:17,
2002-01,3.638,
2002-04,3.589,
2002-07,3.550,
2002-10,3.495,
2003-01,3.453,
2003-04,3.423,
2003-07,3.396,
2003-10,3.355,
2004-01,3.297,
2004-04,3.223,
2004-07,3.127,
2004-10,3.018,
2005-01,1.468,
2005-04,1.371,
2005-07,1.228,
2005-10,1.035,
2006-01,0.099,
2006-04,0.093,
2006-07,0.087,
2006-10,0.082,
2007-01,0.077,
2007-04,0.071,
2007-07,0.071,
2007-10,0.025,
2008-01,0.016,
2008-04,0.015,
2008-07,0.020,
2008-10,0.023,
2009-01,0.026,
2009-04,0.033,
2009-07,0.040,
2009-10,0.046,
2010-01,0.048,
2010-04,0.050,
2010-07,0.053,
2010-10,0.056,
2011-01,0.057,
2011-04,0.061,
2011-07,0.063,
2011-10,0.071,
2012-01,0.075,
2012-04,0.078,
2012-07,0.085,
2012-10,0.092,
2013-01,0.092,
2013-04,0.097,
2013-07,0.105,
2013-10,0.114,
2014-01,0.119,
2014-04,0.122,
2014-07,0.130,
