"",BBK01.OEBJ01U,BBK01.OEBJ01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:08,
2002-01,1.182,
2002-04,1.153,
2002-07,1.306,
2002-10,1.338,
2003-01,1.189,
2003-04,1.150,
2003-07,1.214,
2003-10,1.301,
2004-01,1.265,
2004-04,1.212,
2004-07,1.290,
2004-10,1.326,
2005-01,1.276,
2005-04,1.297,
2005-07,1.342,
2005-10,1.483,
2006-01,1.358,
2006-04,1.336,
2006-07,1.440,
2006-10,1.546,
2007-01,1.496,
2007-04,1.512,
2007-07,1.638,
2007-10,1.840,
2008-01,1.812,
2008-04,1.777,
2008-07,1.827,
2008-10,1.753,
2009-01,1.717,
2009-04,1.922,
2009-07,2.209,
2009-10,2.215,
2010-01,2.297,
2010-04,2.229,
2010-07,2.268,
2010-10,2.318,
2011-01,2.341,
2011-04,2.419,
2011-07,2.530,
2011-10,2.739,
2012-01,2.645,
2012-04,2.496,
2012-07,2.349,
2012-10,2.418,
2013-01,2.206,
2013-04,2.322,
2013-07,2.426,
2013-10,2.455,
2014-01,2.560,
2014-04,2.662,
2014-07,2.542,
